"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,Titel,Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Kommentar zur Signatur,Stadium der Werkgenese,Autographe Funktion,"intere Sicherung vormaliger ""Typ""-Einträge",Übergeordnete Quelle,Untergeordnete Quelle,Übergeordnete Quelle zweiter Ordnung/ Untergeordnete Quelle zweiter Ordnung,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Kommentarfeld zu: Titel (der Quelle) Titelblatt | Umschlag,Kopftitel,Kommentarfeld zu: Titel (der Quelle) Notentext,Besetzung,Tempoangabe,Sprachcode (falls mehrere mit | abtrennen),Text-Incipit,Widmung diplomatisch,Kommentar zur Widmung,Datierung diplomatisch auf Quelle,Datierung auf Quelle maschinenlesbar,Datierung ermittelt maschinenlesbar,Datierung Kommentar,Datierung Ort nach GND,Datierung Ort ermittelt,GND Ort,Schrift,Umfang,Papier,Bezug zu Druck: Verlags-GND,Bezug zu Druck: Plattennr.,Provenienz,Provenienz (diplomatisch),weitere Provenienzangabe,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar,Kommentar intern,Digitalisat,Bearbeiter,,,,
,,R 199 (539),Skizzen aus verschiedenen Chören des Prometheus,D-WRgs,GSA 60/U 71,,,Skizze,,,,,x,,,,,,Kl,,,,,,,,,,,,,zS/wohl aber Liszt (schwarze Tinte),[S. 9-12],"Hochformat, ??? x ??? mm, 25 Notenzeilen, handrastriert",,,,,,,,"Merkwürdig ist aber die Änderung, die ab [S. 9] eintritt: hier ist ein Schluss notiert, der aber nach F-Dur geht und somit wohl nicht zum Vorherigen passt. Außerdem ist die Notation auf dem dritten Bogen sehr flüchtig und scheint mehr einer Kompositionsskizze zu entsprechen - was bei einer Abschrift von fremder Hand freilich merkwürdig anmutet. Zudem sind hier stets nur einige Systeme am oberen Blattrand beschrieben (mag auf das Rastral zurückzuführen sein) und auf [S. 11] ändert sich der Duktus völlig. Zum einen sind die Notenlinien kaum zu erkennen (Digitalisat überbelichtet?), zum anderen hat die Tinte hier einen viel dickeren Auftrag (andere Feder?) als vor- und nachher. Die Quelle endet ebenso abrupt, wie die ""Skizzen"" begonnen haben.
Auflösung der Skizzen: Bei T. 1-9 auf [S. 9] handelt es sich um den Schluss des Chors der Tritonen (Druck S. 55/56); daran schließt sich im dritten System ein sphärischer Akkordsatz an, der dem Chor der Dryaden entspammen könnte (Druck S. 66/67). [S. 10] beginnt mit einer aufsteigenden Spielfigur mit den Harmonien A-D-G-C7 (Identifikation?), in System 1 und 2; Es folgt die Skizze des Allegro moderato (G-Dur) aus dem Chor der Unsichtbaren in System 3 und 4 (Druck, S. 154ff); weitere Identifikation stehen noch aus (s. Daniels Skizzenmaterial). Auf [S. 11] sind so gut wie keine Notenzeilen mehr zu sehen, dafür notiert Liszt unisono und ""col primo""-Angaben für die Streicher sowie unten die Bläser Fag., Ten. P. und Tuba; am unteren Ende drehte Liszt das Blatt um, um weitere Skizzen zu notieren (Rhythmus ähnelt Schnitterchor, Melodie aber nicht).",,Zur Identifizierung der Skizzen s. Partitur: https://haab-digital.klassik-stiftung.de/viewer/image/1722127104/2/LOG_0000/,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209527,DTie,,,,
,,R 666 | S 698 | Q19,"""La Mandragore"" (Délibes)",D-WRgs,GSA 60/U 75,,,Skizze,,Kompositionsskizze,,,,,,,"""La Mandragore"" | Ballade de l'opéra ""Jean de Nivelle"" | de L. Delibes - | transcrite pour Piano par | F Liszt",Titel ist mit violetter Tinte geschrieben,Kl,,,,,,,,,,,,,"Liszt (violette und schwarze Tinte, roter Stift)","2 Blatt zu 1 Bogen, 4 Seiten Notentext","Hochformat, ??? x ??? mm, 12 Notenlinien, handrastriert",,,,,,,,"Es scheint sich hier um eine Kompositionsskizze zu handeln. Der Notentext ist mit für Liszt recht ungewöhnlicher violetter Tinte geschrieben, zudem weist das Notat viel Platz für Korrekturen auf. Auf [S. 1] und [S. 3] nahm Liszt mit rotem Stift Striche von jeweils mehreren Takten vor. Außerdem verwendet er an zwei Stellen (wohl nachträglich) schwarze Tinte: einmal bei der Korrektur auf [S. 2] und bei dem skizzenhaft anmutenden Schluss auf der Schlussseite [4] wo lediglich 5 Takte im unteren System notiert sind und die Musik vor dem Doppelstrich in einer Fermate mündet. Dass es sich noch nicht um das intendierte Ende der Komposition handelt, wird möglicherweise durch die Generalvorzeichnung des fis (#) direkt in der rechten Hand nach dem Doppelstrich angezeigt. Das Manuskript wurde in der Mitte gefaltet aufbewahrt.",,"Bitte beim Vermessen auch prüfen, ob es sich wirklich um handrastrierte Notenzeilen handelt.",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209539,DTie,,,,
,1001252397,"R 560,2 | S 89a/1 | M7",Ständchen,D-WRgs,GSA 60/F 2a,,,Entwurf,,,,,,1001252392,,,Quartett | No. 2 | Ständchen | Gedicht von | [Rückert 118603817],mit violetter Tinte,"T solo, MCh (TTBB)",Allegretto amoroso,,"Hüttelein, still und klein",,,,,,,,,,Liszt (schwarze und violett-rote Tinte),"4 Blatt zu 1 Bogen und 2 Einzelblatt, 8 Seiten Notentext, paginiert (S. 9-16)","Hochformat S. 9, 311 x 233 mm, 10 Notenzeilen, gedruckt; Hochformat S. 11, 306 x 245 mm, 12 Notenzeilen, handrastriert, Wasserzeichen S. 13 (Großbuchstaben?); Hochformat S. 15, 311 x 237 mm, 10 Notenzeilen, gedruckt (Cöln, bei Eck & Comp.)",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,unbeschnittene Seitenränder (rechts); Blatt 1 und Blatt 4 sind gleiches Papier,,"Die Paginierung des Manuskripts in der Handschrift Liszts (rote Tinte) beginnt auf der ersten Seite mit der Seitennummer ""9"". Ursprünglich gehörte es zusammen mit dem Autograph von ""Der Gang um Mitternacht"" (WRgs-GSA 60/F 3a), das entsprechend mit den Seitenzahlen von 1 bis 8 versehen ist. Zunächst schrieb Liszt Gesangs- und Notentext mit schwarzer Tinte, später hinzukommende Angaben zu Dynamik, Ausdruck, Artikulation etc. sind mit roter Tinte geschrieben. Diese Systematik hielt Liszt freilich nicht durchgängig ein. Von der Komposition notiert er nur die erste Strophe aus, die beiden übrigen lediglich andeutungsweise, der Gesangstext und dessen Takteinteilung sind hingegen vollständig vorgenommen. Auf S. 15 befindet sich eine Streichung von zwei Takten. ",[ungedruckt],,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191834,BV,,,,
,1001252398,"R 560,2 | S 89a/1 | M7",Ständchen,D-WRgs,GSA 60/F 2b,,,Entwurf,,,,,,1001252392,,,Ständchen,,"T solo, MCh (TTBB)",Allegretto,,"Hüttelein, still und klein",,,,,,,,,,Liszt (schwarze Tinte),"2 Blatt, 4 Seiten Notentext","Querformat, 274 x 348 mm, 18 Notenzeilen, handrastriert",,,,,,oben abgeschnitten ,,"Die erste Strophe des Liedes ist vollständig notiert, der Gesangstext jedoch nur teilweise (S. 1-2). In Takt 14-20 streicht Liszt die zweite Tenorstimme und notiert stattdessen T1 und T2 gemeinsam in eine Notenzeile. Takt 17 ist vollständig gestrichen und in Takt 18 die Bass-Stimmen gestrichen und darunter neu geschrieben. Auf der dritten Seite ist beginnend mit dem dritten Vers die zweite Strophe grob notiert. Die vierte Seite ist der dritten Strophe vorbehalten, die abgesehen vom fünften Vers und den Schlusstakten ebenfalls unvollständig und eher angedeutet als ausgeführt ist.",[ungedruckt],,,BV,,,,
,1001252502,R 506 | S 18 | J4,5. Qui m'a donné la naissance,D-WRgs,GSA 60/F 6,,,Entwurf,,,,,,1001252495,,,,,3 St,,,Qui donc m'a donné la naissance,,,,,,,,,,Liszt (schwarze und sepia Tinte) ,"2 Blatt zu 1 Bogen, 4 Seiten Notentext","Querformat, 244 x 315 mm, 10 Notenzeilen, handrastriert",,,,,,,,"Auf [Blatt 1r] schreibt Liszt in die Ecke oben links: ""Trois voix egales"". Aus Gründen der Schreibökonomie nummeriert Liszt die Takte der ersten Strophe, die er daher bei Wiederholung einer Passage daraus in den nächsten Strophen nicht mehr notieren muss, sondern sie durch die Zahlen ersetzt. Das Manuskript weist nur geringfügige Korrekturen in Gestalt minimaler Rasuren und Streichungen auf.",,,,BV,,,,
,1001252509,R 506 | S 18 | J4,"2. Chantons, chantons l'auteur de la lumière",D-WRgs,GSA 60/F 6,,,Entwurf,,,,,,1001252495,,,,,GCh (SSTB),Allegro,,"Chantons, chantons l'auteur de la lumière",,,,,,,,,,"Liszt (schwarze und sepia Tinte, Bleistift) ","3 Blatt zu 1 Bogen und 1 Einzelblatt, 5 Seiten Notentext, 1 Leerseite, paginiert","Querformat, 250 x 315 mm, 10 Notenzeilen, handrastriert; Querformat S. 7-8, 183-187 x 315 mm, 8 Notenzeilen, handrastriert, unten abgeschnitten",,,,,,,,"Auf die erste Seite (S. 5) schreibt Liszt in die Ecke oben links mit Bleistift: Nr. 2. Die Takte der ersten Strophe nummeriert Liszt vollständig durch, so dass er in den folgenden Strophen sich mit der ersten gleichenden Notentext durch die entsprechenden Nummern angeben kann und lediglich Abweichungen davon notieren muss. Den Gesangstext gibt Liszt nur rudimentär an. Verschiedentlich finden sich kleinere Streichungen und Korrekturen im Notentext. Dynamik und Ausdruck sind mit Bleistift ergänzt.",,,,BV,,,,
,1001252512,R 506 | S 18 | J4,[Allegretto moderato con grazie],D-WRgs,GSA 60/F 6,,,Entwurf,,,,,,1001252495,,,,,GCh (SSTB),Allegretto moderato con grazie,,,,,,,,,,,,"Liszt (schwarze und sepia Tinte, Bleistift) ","3 Blatt zu 1 Bogen und 1 Einzelblatt, 5 Seiten Notentext, 1 Leerseite, paginiert","Querformat, 245 x 314 mm, 10 Notenzeilen, handrastriert",,,,,,,,"Das Autograph enthält weder einen Titel noch den Gesangstext, so dass aus dem Manuskript selbst nicht ersichtlich ist, um welches Stück es sich handelt. Die Takte der ersten Strophe nummeriert Liszt vollständig durch, so dass er in den folgenden Strophen sich mit der ersten gleichenden Notentext durch die entsprechenden Nummern angeben kann und lediglich Abweichungen davon notieren muss. Auf S. 15 sind im obersten Notensystem die Takte 8 und 9 gestrichen (sepia Tinte).",,,,BV,,,,
,,R 455 | S 124 | H4,Erstes Konzert für Klavier und Orchester Es-Dur,D-Ngm,Hs 107023 [2],,,Skizze,,,,,,,,,,,"Kl, Orch",,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)","7 Blatt, 13 Seiten Notentext, 1 Leerseite, paginiert (15-20, 23-27, letztes Blatt nicht paginiert)","Querformat, 277 x 406 mm, 20 Notenzeilen, handrastriert",,,,,,,,"Das Manuskript ist nicht vollständig. Es beinhaltet lediglich Notentext zu dem Abschnitt ""Allegro marziale animato"" (vor Buchstabe K). Der Notentext weicht erheblich von der später gedruckten Fassung ab und zeigt demnach ein frühes Stadium der Komposition. Streichungen und Veränderungen nimmt Liszt in eher geringem Maße vor.
- S. 19: Abgesehen von den beiden ersten Takten Streichung des unteren Systems (schwarze Tinte). Liszt hatte hier anscheinend eine Überklebung vorgesehen, denn er versieht die Streichung mit der Bemerkung ""Laissez une page en blanc"".
- S. 20: Erster Takt auf der Seite gestrichen.
- S. 23: kleine Streichungen einzelner Noten.
- S. 25: Nach dem dritten Takt auf der Seite sollen sechs Takte, die auf Seite 27 notiert sind, eingefügt werden. Die Stelle ist mit Einfügemarken versehen. Unten auf der Seite schreibt Liszt den Hinweis: ""Vide la dernière page (6 mesures[)]"" (schwarze Tinte)
- S. 27: Die Seite ist von Liszt als ""Page dernière"" (schwarze Tinte) gekennzeichnet.
- nicht paginiertes Blatt: Die Kl-Notation auf beiden Seiten ist komplett gestrichen (Bleistift).",,,https://dlib.gnm.de/item/Hs107023-2/26,BV,,,,
,1001257993,R 418 | S 101 | G10,Festklänge,D-WRgs,GSA 60/A 7d,"Ms A, 7|d",,Entwurf,,,,,,,Fest Ouverture,Raabe (Bleistift): Entwurf zu Festklänge | und Orpheus,,,[Particell],,,,,,in Carlsbad 11 August.,xxxx-08-11,1853-08-11,"Liszt besuchte Carolyne Ende Juli 1853 in Karlsbad, Nachweis u.a. bei Raabe",,Karlsbad,4029705-6,"Liszt (sepia und schwarze Tinte, Bleistift)","10 Blatt zu 5 Bogen (1 Titelblatt, 19 Seiten Notentext, paginiert)","Hochformat, 362-365 x 272 mm, 22 Notenzeilen, handrastriert",,,,,,,,"Umfangreich ausgeführter Entwurf, der der Endversion erstaunlich nahe kommt sowie am Ende Skizzen zum Orpheus (teilweise nicht identifiziert). Zuordnung zu Material der Endfassung ist jedoch durchaus möglich. So lassen sich die mit Bleistift skizzierten Fanfaren und Paukenbässe mit dem Beginn des Stücks in Beziehung setzen, während die unten in Halben notierten Harmonien dem Thema des Andante sostenuto entsprechen (s. Part S. 54). Die Notation mit Tinte auf der von Liszt selbst paginierten Seite 1 zeigt das Fanfarenmotiv, das Motiv mit dem gebrochenen Dreiklang sowie die Skalen der Violinen und stimmt damit mit der Endfassung bereits relativ genau überein (vgl. Part S. 2/3). Dies gilt auch für die folgende Aufwärtssequenzierung. Das Andante sowie Allegro auf S. 2 ist ebenfalls deutlich ausgearbeitet (s. Part S. 9-17). Auf S. 4 folgen im 4. System die Fanfaren (Part S. 19/20). Das folgende Allegretto ist als solches noch nicht im Entwurf markiert, allerdings ist die charakteristische verminderte Quinte (hier noch in der Oboe) deutlich zu erkennen. Auf S. 5, die viele Striche enthält, zeigt sich dann die Gestalt im Cello-Solo (Part S. 20). Der melodische Streichersatz des Allegro non troppo ist auf S. 5 zu Beginn des 4. Systems gut zu erkennen und die Linie der Violinen bereits in recht finaler Gestalt vorhanden (s. Part. S. 23/24). Das gilt auch für die Flötenmelodie, die im vorletzten Takt auf S. 5 ansetzt und dem Un poco animato il tempo bereits sehr ähnlich ist (Part S. 26). Es folgt eine im Klaviersatz reduzierte Ausarbeitung dieses verspielten Motivs, das mit gebrochenen Dreiklängen operiert (Part S. 26-34) - auch hier ist das Endprodukt bereits gut zu erkennen. Große Abweichungen motivischer Art finden sich dann aber zu Beginn von S. 7, allein die Fanfare im Blech (im Entwurf noch mi der verminderten Quinte versehen) zeigt eine Gemeinsamkeit auf. Deutliche Anknüpfung gibt es jedoch wieder beim Tempo I der Partitur, also den Fanfaren zu Beginn des 4. Systems (Part S. 41). Diesen folgen die ""Reprise"" des Dreiklangs-Motivs sowie der Streicherfiguren (Part S. 42-47). Die Überleitung zu Buchstabe I (Part S. 48) ist im Entwurf noch anders konzipiert, die folgende Musik ist im Entwurf/Particell bereits voll ausgearbeitet und entspricht dem Verlauf der Partitur bis zum Eintritt des Andante sostenuto. Auch dieser Höhepunkt ist im letzten System auf S. 9 als An.[dante] moto [?] in D-Dur skizziert. So auch der weitere Verlauf auf S. 10, das mit dem Thema operiert. Im dritten System sind zudem bereits die ätherischen Holzbläserakkorde und die Pizzicati der Streicher angelegt (s. Part. S. 57/58). Die Wiederholung vom Beginn ist auch im Entwurf bereits angelegt, was die schriftlichen Hinweise Liszts offenbaren (s. unten S. 10). Auf S. 11 setzt dieser mit dem auf eine Stimme reduzierten Satz fort (= Violinstimme, s. Part S. 65). Die harmonische Fortführung weicht jedoch dann ab, im Entwurf Es-Dur statt E-Dur der Endfassung, die abschließenden Fanfaren sind im Entwurf auch umfangreicher gestaltet. Der Beginn des Allegrettos setzt auf S. 12 tongetreu ein (s. Part S. 68/69) und führt nach größeren Abweichungen in das Allegro non troppo über. Da es sich hier um die ""Reprise"" der Musik des Entwurf von S. 5/6 handelt, stimmt auch hier die Kontur des Verlaufes mit dem der Partitur von S. 71 bis 80 weitestgehend überein, lediglich die Überleitung nimmt im Entwurf noch einen gänzlich anderen Verlauf. So ist auch die Analogstelle zum Allegretto im Entwurf von ganz anderer Gestalt (so wie auf S. 7). Liszt scheint ebenfalls gedanklich ""abgesetzt"" zu haben, was sich durch die Taktaddition und die Lücke im Notentext zeigt. Beim ""Wiederansatz"" mit den Fanfaren in F-Dur (zwei untere Systeme auf S. 14) zeigt sich wieder eine deutliche Ähnlichkeit mit dem Endprodukt (Part Allegro, die letzten zwei Takte auf S. 87). Wenn auch die Überleitung im unteren System anders gestaltet ist, so setzt doch das Andante sostenuto-Thema auf S. 15 in Fis-Dur ein, wie in der Partitur - darauf deuten zumindest die von Liszt angeführten Generalvorzeichen am Ende von Seite 14 hin. Die Ausarbeitung des Schlusses gestaltet sich im Entwurf noch anders, allerdings ist die Einbettung des Andante sostenuto Themas für den finalen Höhepunkt bereits in den beiden unteren Systemen auf S. 15 ersichtlich (Part S. 93, T. 2). Auf S. 16 streicht Liszt mit Bleistift das oberste System, es folgt eine Version, die zwar die Horngänge bei dem Stretto mit aufnimmt, nicht aber das Dreiklangs-Motiv (bzw. dies nur in stark modifizierter Weise). Es zeigt sich auch hier, dass bei Liszt gerade die Schlussgestaltung zu der größten Überarbeitung führt. 
Gleich nach dem Abschluss der Komposition notiert Liszt mit Bleistift eine Skizze des Orpheus-Themas, die mit Tinte mit ""E - p - Harp [??]"" überschrieben ist. Auf S. 17 weitere Skizzen zum Orpheus, zunächst das Harfenarpeggio sowie das Hauptthema des Beginns (System 1-2, T. 3), dann scheint ein Sprung zu folgen und die folgenden mit ""Bis"" markierten Takte entsprechen den Harfenarpeggien und Holzbläser-Antworten von Buchstabe E (Part S. 20, T. 4 bis S. 23, T. 2). Die Genese des folgenden Skizzenmaterials konnte noch nicht ermittelt werden, scheint jedenfalls nicht mehr aus ""Orpheus"" zu stammen.","Sehr spannender ""Entwurf"" - im Grunde ist hier die ganze Symphonische Dichtung bereits konzipiert - mit Ausnahme von Anfang und Schluss sowie des Allegrettos (Part S. 35-40 sowie82-87), an dem Liszt noch bin in die Stichvorlage hinein gefeilt hat.",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190288,DTie,,,,
,,R 52 | S 230 | A326,Bülow Marsch,A-Wgm,A 190a,VII 75363,,Entwurf,,,,,,,,,"Bülow Marsch. | Weimarer | Unter Der Orchester Schüler | unter Leitung Müller Hartung | Dem Dirigenten der Orchest | gewidmet. | Weimarer Orchester Schüler, | Müller Hartung, freundschaftlich | gewidmet.""","Liszt hatte offensichtlich Schwierigkeiten, den Widmungstext zu verfassen.",Kl,"Allegro vivace, Metronom | 72 [Halbe]",,,,,"Dem Dirigenten der | Weimarer OrchesterSchüler, | Müller Hartung, freundschaftlich | gewidmet.",,,,,,,"Liszt (schwarze und rote Tinte, blauer und roter Stift)","1 Blatt, 2 Seiten Notentext, paginiert","Hochformat, 353 x 270 mm, 10 Notenzeilen, gedruckt (B. & H. Nr. 18. C.)",,,,,,"Einzelblatt mit abgerundeten Ecken und restauriertem Papier, Überklebung auf der Verso-Seite",,"Sehr skizzenhaft ausgeführter Entwurf auf der Recto-Seite (entspricht den ersten 18 Takten des Drucks, wobei die 2 Takte Oktavrepetitionen, T. 9/10, fehlen). Auf der Verso-Seite befindet sich eine frühere Version der Fortführung, die auf einer Überklebung (120 x 253 mm, 4 Notenzeilen) notiert ist, aber von Liszt zu einem späteren Zeitpunkt mit blauem Stift gestrichen wurde. Die Resttakte der Seite entsprechen den Takten 49 bis 56 im Druck). Dass Liszt die Überklebung erst nachträglich gestrichen hat, wird daran ersichtlich, dass er zunächst Pedalisierung und Oktavierung mit roter Tinte nachgetragen hat. Ebenfalls strich er den quer zur Seite notierten Hinweis ""Da Capo, ohne Wiederholung"" mit rotem Stift. Es handelt sich hierbei um eine Einzelseite aus einem größeren Zusammenhang, denn neben der von Liszt mit rotem Stift paginierten Seite 1 ist mit Bleistift der Zusatz ""(7 Blätter)"" notiert.","Wo sind die übrigen Blätter dieses Entwurfs?
eigenartig ist auch, dass die Pedalsternchen mit roter Tinte von der Überklebung auf das Blatt durchgehen, die blauen Bögen am unteren Rand der Überklebung hingegen nicht. Auf der recto-Seite nutzt Liszt nur schwarze Tinte, während auf der Rückseite das ganze Arsenal der Schreibstoffe zum Einsatz gelangt.",,wird bestellt,DTie,,,,
,,,[Stück Kl + Vlc],A-Wgm,A 192,XI 42312,,Skizze,,,,,,,Liszt Franz | 7 Takte einer Komposition für | Violoncell und Pianoforte | Autograph ,"Mit Tinte auf einem Aufkleber geschrieben, schwarzer Umschlag/Einband (265 x 337 mm)",,,"Vlc, Kl",,,,,,29. Octob. 73,1873-10-29,,,,,,Liszt (blaue Tinte),"1 Blatt, 1 Seite Notentext, 1 Leerseite, dazu 2 Blatt ""Umschlag"", 2 leere Schmutzblätter","Querformat, 255 x 330 mm, 16 Notenzeilen, handrastriert",,,Gesellschaft der Musikfreunde in Wien,Gesellschaft der Musikfreunde in Wien,,Einzelblatt ist schön zusammengebunden mit schwarzem Umschlag,,"Sehr kurze Skizze einer Komposition für Violoncello und Klavier, mit seltener blauer Tinte geschrieben und datiert, nicht aber signiert. Die Instrumente sind mit ""Cello"" und ""Piano"" einzeln vor den Systemen bezeichnet. Die Klavier-Begleitung ist zunächst nur auf wenige Basstöne und einen Vorhaltsakkord in der rechten Hand reduziert, lediglich bei den letzten beiden Takten schreibt Liszt die Harmonien (gis6 - Dis - gis - Fis) aus, bevor die Skizze unvermittelt abbricht. Unter diesen beiden Takten notiert er, mit einem + markiert, ""Figuration ad libitum"".
Am unteren Ende des Blattes ist mit schwarzer Tinte der Hinweis nachgetragen, ""Autograph Franz Liszt.""",Seltene Besetzung (Klavier und Cello) und seltener Einsatz der blauen Tinte.,,wird bestellt,DTie,,,,
,1001340520,R 667 | S 690 | Q1,Skizzen zu einer Revolutionssymphonie (Symphonie révolutionnaire),D-WRgs,GSA 60/A 21,,,Skizzen,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,"[Marie zu Hohenlohe-Schillingsfürst 11695549X], 1903","[Marie zu Hohenlohe-Schillingsfürst 11695549X], 1903",,,,"Die Signatur bündelt eine Reihe von Skizzen zur ""Revolutions-Symphonie"" von Liszt. Dabei umfasst sie eine relativ aufwändige, in Teilen aber gestrichene ""Instrumentation"" von Raffs Hand, die aber, ungewöhnlich für ihn, recht flüchtig ausgeführt ist sowie Skizzen von Liszt. Letztere stammen dabei sowohl aus den späten 1820er Jahren, was an Tinte, Papier und Schrift gut zu erkennen ist, also auch Skizzen aus den 1850er Jahren und beinhalten sowohl die Skizzierung von nur wenigen musikalischen Ideen, die teilweise nur einstimmig ausgeführt sind, bis hin zu mehrstimmigen (fünfstimmigen) particellartigen Skizzen, die teilweise auch konkrete Hinweise zur Instrumentation enthalten. Die Quelle umfasst insgesamt 5 Untersignaturen, die jeweils von einem Blatt voneinander getrennt sind. ",GSA-Findbuch: Geschenk [Marie zu] Hohenlohe[-Schillingsfürst] 1903,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190407,DTie,,,,
,1001340535,R 667 | S 690 | Q1,Skizzen zu einer Revolutionssymphonie,D-WRgs,GSA 60/A 21,"Ms A, 21 (1)",,Abschrift (Fragment),,Skizzen,1001340520,x,,,,,,,Particell / Orchesterskizze,,,,,,,,,,,,,"[Joachim Raff 118597779] (schwarze Tinte), Liszt (Rötel, schwarze Tinte)","7 Blatt zu 3 Bogen und 1 Einzelblatt (14 Seiten Notentext, foliiert)","Hochformat, 354 x 216 mm, 30 Notenzeilen, handrastriert",,,,,,die Rastrierung ist ungewöhnlich schlampig ausgeführt,,"Instrumentierte Skizzen von Raffs Hand, die auf einem sehr hochformatigen Notenpapier, meist auf der oberen Hälfte mit schwarzer Tinte ausgeführt sind. Der Notentext der ersten drei Seiten ist evtl. von Liszt (?) mit Rötel gestrichen, ab [S. 6] finden sich aber kaum weitere, jedenfalls deutlich identifizierbare Ergänzungen der Notation. Das auffallend flüchtige Stadium der Rastrierung, die inkonsequenten Instrumentenbezeichnungen und die unterschiedliche Qualität der Ausarbeitung der ""Instrumentation"" werfen weitere Fragen nach der Intention dieser Quelle auf. [S. 13-16] sind wieder gestrichen (mit Rötel, auf [S. 15] auch mit schwarzer Tinte), teilweise scheint es, als wäre Liszt bei der Notation auch beteiligt gewesen. Die erste ""Skizze"" in der Quellensammlung endet mit einem Doppelstrich auf [S. 16], die Musik ist hier aber komplett gestrichen.","Enthält einen Umschlagbogen auf blanko Papier mit Signaturangabe von Raabe und seinem Vermerk: ""Raffs Hand | Papier in Handschrift aus derselben Zeit wie Raffs Instrumentation | des Prometheus (Siehe Ms A 5|d)",Digitalisat [S. 1-16],https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190407,DTie,,,,
,1001340541,R 667 | S 690 | Q1,Skizzen zu einer Revolutionssymphonie,D-WRgs,GSA 60/A 21,"Ms A, 21 (2)",,Skizze,,,1001340520,x,,,,,N° 2.,blass mit Rötel notiert,Particell / Orchesterskizze,,,,,,,,,,,,,"Liszt (sepia Tinte, roter Stift, Rötel, Bleistift)","7 Blatt zu 3 Bogen und 1 Einzelblatt (14 Seiten Notentext, paginiert)","Hochformat, 352 x 262 mm, 20 Notenzeilen, handrastriert; Hochformat, 366 x 274 mm, 22 Notenzeilen, handrastriert, S. VI-XIII",,,,,,,,"Umfangreich ausgeführte Skizzen zu einem zweiten Satz? Hierauf deutet zumindest der ""Titel"" über dem ersten Blatt hin. Liszt notiert die Tonart ""Bdur"" und trägt sporadisch Angaben zur Instrumentation (einzelne Bläser und Quartett"") in den mit schwarzer Tinte geschriebenen Notentext ein. Im Laufe der Skizze kommt es zu vielen Streichungen und Korrekturen mit Tinte, braunem Stift und Bleistift. Liszts Paginierung mit braunem Stift in römischen Zahlen ist irreführend, da er III zweimal verwendet (wohl aus Versehen). Die Skizze ist von unterschiedlichem Umfang und reicht vom zweizeiligen Satz bis hin zum vier- bis fünfzeiligem Particell. Strich der letzten sechs Takte unten auf S. V [S. 23] sowie der Hinweis ""Vide Pag. VI."" Diese ist jedoch komplett mit braunem Stift gestrichen, dennoch scheint Liszt nachträglich mit Bleistift diese Streichung revidiert zu haben, indem er ""gut"" hinzugesetzt hat. Ab [S. 25] ist die Schrift sehr sauber und erweckt überhaupt keinen skizzenhaften Eindruck mehr (bis S. XII [31]). Dort beginnt ein neuer Sinnabschnitt, den Liszt mit einem Hinweis an sich hervorhebt: ""Andante - in Fis Dur anstatt ges schreiben"". Mit braunem Stift fügt er weitere Ergänzungen hinzu und markiert die beiden letzten Systeme als ""Coda"". Davor fügt er schriftlich eine Wiederholung ein: ""die 22 Takte | am Zeichen :S: da Capo | Seite IX"". Das entsprechende Zeichen mit Abbreviaturen (1-4 sowie A-E) findet sich auch auf S. IX [28]. Auf [S. 32] findet sich der skizzierte Schluss des Satzes. ",Enthält einen Umschlagbogen auf blanko Papier mit Signaturangabe von Raabe.,Digitalisat [S. 17-32],https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190407,DTie,,,,
