"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. (falls vorhanden),Titelei Umschlag oder Titelblatt,Digitalisat Titelei,Widmung (diplomatisch),Verlag,Verlags GND-Nr.,Ort (normiert),GND-Nr. Ort,Plattennummer,Stecherei,Stecherei GND-Nr.,Preis,Abbildung (figurativ),Druckumfang,Drucktyp,Kopftitel,Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode ,Text-Incipit (diplomatisch),Titel Umschlag und/oder Titelblatt (handschriftliche Zusätze),Kopftitel (handschriftliche Zusätze),Geschenkvermerk (handschriftlich) (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (handschriftlich) (normiert),GND-Nr. Ort,Schrift (Liszt egh.),Schrift (zS/fremde Hand),Umfang,Papiermaß,Wasserzeichen (intern),Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Personen,Datierung ermittelt (maschinenlesbar),Datierung Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale / Zustand der Quelle (intern), Inhalt (interner Vermerk),"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.)",Datierung Erstauflage,Kommentar Datierung Erstauflage
,,"R 323,(R 422),(R 423),R 325,1-2","Hamlet, Hunnenschlacht, Die Ideale, Zwei Episoden aus Lenaus Faust",H-Bn,Ms. mus. 3.438,V 903 / 758 / 1964,Orsz Széchényi Könyvtár,Partitur,Dedikationsexemplar,,,,L. LISZT. | Symphonische Dichtungen | II.,,,,,,,,,,,,,,,Kl 4hdg,,,,,,,"À J. et Angélica | de Vegh [keine GND, Frau von János], | en sincère amitié | F- Liszt | Février 78, | Budapest.","Février 78, | Budapest.",1878-02-xx,Budapest,4008684-7,schwarze Tinte,,"78 Blatt (Einband, Vorsatz, Schmutztitel, 5 Titelseite, 144 Seiten Notentext, 7 Leerseiten, paginiert)","Hochformat, 330 x 260 mm, 12-14 Notenzeilen",,,,,,,,,,"sehr schöner, in rotem Leder eingebundenem Druck mit Goldschnitt-Papier, Einband weist Abnutzungsspüren auf, gebunden in roten prachtvollen Ledereinband mit goldener Prägung, 340 x 274 mm, 4 Schutzblatt",,"Prachtvoller Druck vierhändiger Arrangements von Hamlet, Hunnenschlacht, Die Ideale sowie den Zwei Episoden aus Lenaus Faust. Der Geschenkvermerk ist von Liszt mit schwarzer Tinte auf der recto-Seite des Schutzblattes vor dem ersten Titelblatt angebracht.
In den weiteren Drucken finden sich keine Eintragungen von Liszt.","goldene Lettern auf rotem Leder geprägt, offensichtlich gibt (oder gab) es noch einen zweiten Band",Signatur Koll. 1-5 (auf jedem der Titelblätter vermerkt),wohl nur Widmung für ein Digitalisat interessant,DTie,,,,,113
,,"R 14,3",Harmonies poétiques et religieuses. Bénédiction de Dieu dans la solitude,D-WRgs,GSA 60/I 90,,Liszt-Museum Weimar,Partitur,korrigierter Druck,,x,,,,A [Jeanne Elisabeth Carolyne 119369168],Fr. Kistner ,5318140-2,Leipzig ,4035206-7,1886,,,M. 2.50.,,"Titelseite, Widmungsseite, Vorwort, S. 5-19",,Benediction de Dieu dans la Solitude,Kl,Moderato,,,,,,,,,,,Bleistift,,"12 Blatt (Fadenbindung, 1 Titelseite, 15 Seiten Notentext, 2 Seiten Text, 2 Leerseiten, paginiert)","Hochformat, ??? x ??? mm, 8-12 Notenzeilen",,,,,,,,,,,,"Der Druck enthält nur wenige Bleistifteintragungen (pp und Ped., S. 12), daher ist es schwer zu entscheiden, ob diese wirklich von Liszt stammen. Die Widmung ist auf [S. 7] gedruckt.",,Könnten die wenigen Eintragungen von Liszt stammen?,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:478122,DTie,,,,,114
,,R 53 | S 231 | A65,Herorischer Marsch im ,D-WRgs,GSA 60/I 10,"Ms I, 10|5",Liszt-Museum Weimar,Partitur,korrigierter Druck,,x,,HEROISCHER MARSCH | in ungarischem Styl | für das | Piano-Forte | von | F. LISZT.,,Seiner Majestät | dem Könige von Portugal | Dom Ferdinand | Prinzen von Sachsen-Coburg-Gotha 77 | in tiefster Ehrfucht gewidmet | F. Liszt.,A. M. Schlesinger,1073054446,Berlin,4005728-8,S. 2977,,,¾ Thlr.,,"Titelseite, Widmung, S. 3-13",Plattendruck,HEROISCHER MARSCH  | in ungarischem Styl | von | F. LISZT.,Kl,Andante eroico,,,,,,,,,,,Bleistift,,"9 Blatt (2 Titelseiten, 11 Seiten Notentext, 1 Seite Text, 4 Leerseiten, paginiert)
S. 163-180 (von 270 Blatt)","Hochformat, 336 x 26 mm, 8-10 Notenzeilen, geprägt (SCHLESINGER | BUCH U. MUSIK | HANDLUNG)",,,,,,,,,,,,kleine Notenkorrektur auf der 1. Seite,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192136,DTie / UR,,,,,115
,,R 130 | S 391 | A74,"I puritani, Introduction et polonaise",US-Wgu,"GTM-941229, Box 13",,,Partitur,,x,,,"The Polacca. | Son vergin vezzosa | in | Bellini's Gran Opera, | I Puriatani, | Arranged for the | Piano Forte, | and Dedicated to | Madame la Princesse Belgiojoso, | by F. Liszt. ",,Dedicated to Madame la Princesse Belgiojoso,"Cramer, Addison & Beale",121051026X,London,,,,,Price 3,,,,Polacca.,Kl,Allegretto con moto ,[Viertel] = 132,,,,,,,,,,schwarze Tinte,,"6 Batt zu 3 Bogen (1 Titelseite, 8 Seiten Notentext, 2 Leerseiten, paginiert)","Hochformat, 337 x 253 mm, Plattengröße: 265 x 198 mm",,,,,,,,,,,,"Liszt nimmt in dem Druck wenige Korrekturen vor, so finden sich Vorzeichenänderungen und vereinzelt Änderungen einzelner Noten. Lediglich auf Seite 23 nimmt er auffälligere Änderungen vor und streicht vier Takte in der linken Hand (2. Akkolade, T. 2 bis 3. Akkolade T. 1) und scheibt sie verändert auf dem linken und rechten Seitenrand neu.", (S. 22-29) ,,fehlt,,,,,,116
,,,"I puritani, Introduction et polonaise",US-Wgu,"GTM-941229, Box 13",,,Partitur,,,x,,,,,,,,,,,,,,,,,Kl,,,,,,,,2 Juillet 1841,1841-07-02,,,sepia Tinte,,"2 Blatt zu 1 Bogen (1 Seite Notentext, 3 Leerseiten)","Hochformat, 290 x 233 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,Das Manuskript ist hinter dem Titelblatt in den Druck eingeklebt. ,,"Es handelt sich um zehn Takte mit dem Beginn der Introduzione, die der Polacca vorangeht. ","Vielleicht gehört das Manuskript nicht in einen direkten Zusammenhang mit dem Druck.
Es handelt sich hierbei wohl um ein Ergänzungs- oder Korrekturblatt.",,fehlt,,,1939,unten links auf jedem Stimmsatz gedruckt (MCMXXXIX),,117
,,R 621,Ihr Glocken von Marling,D-WRgs,GSA 60/Dep. H 13,,,Partitur,korrigierter Druck,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,2204,,,,,S. 29-31,Plattendruck,"""Ihr Glocken von Marling.""","Singst, Kl","Ziemlich langsam, schwebend",,Deutsch,"Ihr Glocken von Marling, wie brauset ihr so hell",,,,,,,,,,S. 29-31 (von 32 Blatt),,,,,,,,,,,,,"Die Stimmbezeichnung ""Singstimme"" ergänzt Liszt mit dem Zusatz ""(Mezzo Sopran)"" (rote Tinte).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:210999,BV,,,,,118
,,R 621,Ihr Glocken von Marling,D-WRgs,GSA 60/D 99,,,Partitur,Korrekturabzug,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,3197,,,,,S. 37,Plattendruck,Les cloches de Marling. | Ihr Glocken von Marling,"Mez, Kl","Doux, lent et mystérieux | Ziemlich langsam schwebend",,Französisch | Deutsch,"Marling, quand tes cloches | Ihr Glocken von Marling",,,,,,,,,"zS (rote Tinte), zS (rote Tinte) ",S. 37 (von 36 Blatt),,,,,,,,,,,,,"Nur die 1. Seite des Korrekturabzugs, S. 38-39 fehlen. Auf S. 37 ist die Spielanweisung zur Pedalisierung mit dunkelroter Tinte von ""temps"" ind ""mesure"" korrigiert und eine weitere Korrektur am Seitenrand mit hellroter Tinte durchgestrichen und korrigiert. Am Rand des 3. System ist mit dunkelroter Tinte eine Bemerkung [xx] geschrieben. ",Vgl. GSA 60/D 102,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191645,UR,,,,,119
,,R 594b,Il fut un Roi de Thule (Es war ein König in Thule),D-WRgs,GSA 60/Dep. H 12c,,,Partitur,,,,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,703,,,,,S. 19-24,Plattendruck,"""Es war ein König in Thule""","Mez, Kl",Allegretto,,Deutsch | Französisch,Es war ein König in Thule | Il fut un Roi de Thulé,,Die französische Variante des Titels ist von zS (rote Tinte) oberhalb des gedruckten deutschen Titels geschrieben: Il fut un Roi de Thule,,,,,,rote und schwarze Tinte,zS (rote Tinte),3 Blatt (6 Seiten Notentext),"Hochformat, ??? x ??? mm",,,,,,,,,,,,"Der zS trägt in den Druck die französische Übersetzung des Gesangtextes ein (rote Tinte), sie stammt von [Gustave Lagye 1157513743], wie zS eingangs des Notentextes festhält (rote Tinte).. An der Melodie des Gesangstextes sind für die französische Fassung einige Änderungen erforderlich geworden: S. 19, Takt 9-10 (rote Tinte); S. 22, Takt 13, 25 (rote Tinte); S. 24, Takt 10-12. Auf Seite 23 ist in Takt 9-10 eine stärkere Änderung erforderlich, die Liszt neben die entsprechende Stelle an den rechten Rand notiert (schwarze Tinte).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:210946,BV,,,,,120
,1001235488,"R 10b,2 | S 161/2 | A 55/2",Il Penseroso,D-WRgs,GSA 60/I 13,"Ms I, 13|2",Liszt-Museum Weimar,Partitur,korrigierter Druck,,x,10012354980,,,,Schott's Söhne,,,,13378/2,,,,,S. 2-3,Lithographie,ANNÈES DE PÈLERINAGE. | 2|de ANNÈE. | II. Il Penseroso.,Kl,Lento,,,,"Titel handschriftlich von Liszt: Penseroso | ""La Notte"". Penseroso mit rotem Stift geschrieben, ursprünglich aber als ""La Notte"" betitelt. Dies wurde aber mit rotem Stift gestrichen.
Bleistiftnotiz Raabe: ""Lag anderswo | gehört aber genau | zu dieser Gruppe im Umschlag.""","""La Notte"" mit rotem Stift, aber gestrichen; gedruckter Titel unter der Überklebung.",,,,,,"schwarze und sepia Tinte, roter und blauer Stift",,Blatt 8r-9v (von 32 Blatt),"Hochformat, 344 x 261 mm, 8-10 Notenzeilen; Überklebung S. 2a, Querformat, 50 x 165 mm, 2 Notenzeilen, gedruckt",,,,,,,,,,Seitenränder restauriert und verfüllt,,"Erstdruck oder Probedruck(?), Titel wurde von Liszt mit einem viertaktigen (inklusive Auftakt) erweiterten Beginn überklebt (gut sichtbar an den Siegellackspuren). Liszt vermerkt dazu ""5 Anfangs Takte"" und streicht den Auftakt aus dem Druck. Weitere Korrekturen auf S. 3: so wird Takt 3 um drei weitere Takte im Bass mit sepia Tinte erweitert, Streichung und Verweis (mit blauem Stift) im dritten Notensystem. Ebenso sind die sechs Schlusstakte mit rotem Stift gestrichen, dazu der Hinweis am unteren Seitenende mit rotem Stift: ""Weiter Vide Manuskript Pag. 4 - 5 - 6 - 7"".",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192147,DTie,,[ca. 1875],"Datierung aus HAAB, L 1829 [d]",,121
,1001309653,R 567b | S 272/2 | N3,"Im Rhein, im schönen Strome",D-WRgs,GSA 60/D 44,"Ms, D 44",,Partitur,Korrekturabzug,,,,,,,A. M. Schlesinger,1073054446,Berlin ,4005728-8,S. 2826,,,,,S. 3-6,Plattendruck,"""AM RHEIN IM SCHÖNEN STROME"" | von | F. LISZT. | Für TENOR.","T, Kl",Ruhig bewegt,,Deutsch,Am Rhein am schönen Strome,,,,,,,,"schwarze und rote Tinte, Rötel",,"2 Blatt zu 1 Bogen (4 Seiten Notentext, pagniert)","Hochformat, 328 x 280 mm, 11-12 Notenzeilen",,,,,,,,,,,,"Liszt notiert mit schwarzer Tinte über dem Liedtitel auf S. 3: ""Bitte 2t Corr | FLiszt [?]"". Er korrigiert mit Rötel und violett-roter Tinte im Notentext und notiert die Korrekturen zusätzlich am Rand. Die Korrekturen betreffen einzelne Noten und Vorzeichen, Dynamik, Phrasierung und Pedalisierung. Der Fehler im Titel und im Incipit wird nicht korrigiert.",,Titelvariante geht vermutlich auf Fehler in der Abschrift von Conradi zurück (GSA 60/D 43),https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191429,UR,,,,,122
,,[D 899/1],Impromptu pour le Piano-Forte op. 90,A-Wgm,A 193a,VII 75365,,Partitur,korrigierter Druck,,,,Impromptu | pour le | PIANO = FORTE | PAR | Franç. Schubert. | OEUVRE 90.,,,Charles Haslinger q[uonda]m Tobie,2092125-1,Wien ,4066009-6,T. H. 5071,,,,,,Plattendruck,IMPROMPTU. | No 1.,Kl,Allegro molto moderato,,,,"über dem Titel mit Tinte von Liszt geschrieben ""Souvenir de Fr. Schubert | Erinn[er]ung an Frz Schubert."" Hierbei strich er den französischen ersten Teil des Titels. Änderung erfolgte wohlmöglich zu einem späteren Zeitpunkt mit anderem Stift.",,,,,,,"schwarze Tinte, Bleistift",,"6 Blatt zu 2 Bogen und 2 Einzelblatt (1 Titelseite, 8 Seiten Notentext, 3 Leerseiten, paginiert)","Hochformat, 340 x 260 mm, 12 Notenzeilen",,,,,,,,,,"Papier weist sehr viele Stockflecken auf, ist aufgrund des Alters sehr stark abgenutzt, der usprünglich zusammenhängende äußere Bogen ist in zwei Einzelblatt zerrissen",,"Liszt nahm diesen alten Druck offenbar als Vorlage für eine Einrichtung einer eigenen Transkription oder Version des Stückes. Darauf lassen seine Eintragungen mit Bleistift und Tinte schließen. So nahm er auch einige Striche in dem c-Moll Impromptu vor, die jeweils mit Verweiszeichen und ""de"" angezeigt sind. So in der zweiten Hälfte auf S. 1, 1. System auf S. 2, ab letzten Takt des 2. Systems auf S. 3 bis 2. System auf S. 4 sowie auf der letzten Seite, Striche im 4. System, hier mit Tinte. Er plante offensichtlich darüber hinaus auch harmonisch in den Notentext von Schubert einzugreifen, so schrieb Liszt zweimal mit Bleistift, auf S. 7, unteres System, T. 2 ""vide | in As dur"" sowie auf der Letzten Seite, 1. Takt vorletztes System erneut ""As dur"" und substituiert damit die originale Varianttonart von Schubert (C-Dur) mit der Subdominante. Hinter dem Doppelstrich notiert Liszt abschließend mit Bleistift, ""36 | Takte"".","Hat Liszt eine eigene Transkription/Version des c-Moll Impromptus von Schubert angefertigt?

Interessant, wie Liszt hier einen alten Druck zur Einrichtung bzw. Skizzierung seiner eigenen Version heranzieht.",,evtl. anfragen,DTie,,,,,123
,,R 627,Isten veled!,D-WRgs,GSA 60/D 99,,[W. Benicke Musikalien-Druckerei 1072959267] Leipzig,Partitur,Korrekturabzug,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,3197,,,,,S. 2-5,Plattendruck,Isten veled ! | Adieu! | Lebe wohl!,"Singst, Kl",Andante malinconico,,Ungarisch | Französisch | Deutsch,Isten veled! | L'heure est venue | Lebe wohl!,,,,,,,,,"zS (Bleistift), zS (sepia Tinte)",S. 2-5 (von 36 Blatt),,,,,,,,,,,,,"Auf S. 1 oben links schreibt Kahnt [?] mit Bleistift: ""Die letzten | Seiten bekommen | Sie in den nächsten | Tagen | [xx] | C. F. Kahnt"". Oben links schreibt ein weiterer Schreiber mit Bleistift: ""Nach Correctur | druckfertig | Auflage [xx]"". Auf S. 4 ist mit brauner Tinte ein Bindebogen nachgetragen, der als Korrektur ebenfalls am Seitenrand notiert ist. In gleicher Weise ist auf S. 5 ein Kreuzvorzeichen eingetragen.",Vgl. GSA 60/D 102,"Provenienz: S. 2, Stempel: ""W. Benicke | Musikalien- | Druckerei | Leipzig"", dazu mit schwarzer Tinte: ""18/3. 90"" [1890/03/18?] und ""3287""",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191645,UR,,,,,124
,,R 627,Isten veled! (Lebe wohl!),D-WRgs,GSA 60/Dep. H 13,,,Partitur,korrigierter Druck,,x,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,2204,,,,,S. 2-5,Plattendruck,Isten veled! | Lebe wohl!,"Singst, Kl",Andante malinconico,,Ungarisch | Deutsch,Isten veled! Isten veled! | Lebe wohl! Lebe wohl!,,,,,,,,,,S. 2-5 (von 32 Blatt),,,,,,,,,,,,,"Liszt trägt am Ende des Liedes den Namen seines Textautors nach, [""Horvath P."" 140967699] für Petrichevitch Horváth (rote Tinte).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:210999,BV,,,,,125
,1001352303,R 620 | S 327 | N68,J'ai perdu ma force et ma vie,D-WRgs,GSA 60/D 98,,,Partitur,Korrekturabzug,,,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,706,Stich und Druck von W. Beinicke in Leipzig,,,,S. 3-7,Plattendruck,J'ai perdu ma force et ma vie.,"Bar/ContraA, Kl","Lent, mais sans traîner",,Französisch | Deutsch,J'ai perdu ma force et ma vie | Ich verlor die Kraft und das Leben,"Titel ""Gesammelte Lieder | 4tes Heft | (französisch)"" von Liszt mit blauem Stift auf Umschlag geschrieben.",,,,,,,"rote Tinte, blauer Stift",Dr (schwarze Tinte),"4 Blatt zu 2 Bogen (1 Titelseite, 5 Seiten Notentext, 2 Leerseiten, paginiert)","Hochformat, 339 x 268 mm, 9 Notenzeilen",,"1970-xx-xx, [Günther Kraft 134171632], GSA-Findbuch",,,,,,,,,,"Auf der Titelseite schreibt Liszt zusätzlich ein Inhaltsverzeichnis für das Heft 4 der Gesammelten Lieder: ""1 V. H. [Viktor Hugo?] | 2 | 3 | 4 Alfred de Muesset | 5 le Crucifix | (I | II | III)"". In der unteren linken Ecke findet sich geschrieben mit schwarzer Tinte eventuell ein Eingangsvermerk (= Signatur) vom Drucker: ""II d. //10. 82 | 939 [?]"" [1882/10/07]. Auf der 1. Seite des Notentextes (S. 3) trägt Liszt einige Korrekturen zum Notendruck, der Pedalisierung und der Dynamik ein sowie eine französische Textkorrektur im 3. System, die Liszt am unteren Rand mit dem entsprechenden Notentext nochmal neu notiert. Auf den folgenden Seiten finden sich von Liszt nur noch wenige Korrekturen zu einzelnen Noten und Vorzeichen sowie Dynamik- und Tempoangaben.","GSA-Findbuch: Ankauf von Prof. [Günther] Kraft, Weimar 1970; zu Eingangsvermerk bzw. Signatur vgl. GSA 60/D 99 aus dem Vorbesitz von W. Benicke, Musikalien-Druckerei, Leipzig.",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191644,UR,,,,,126
,,R 586,Jeanna d'Arc au bûcher [frühere Fassung],D-WRz,L 842,,,Partitur,korrigierter Druck,,,,JEANNE D'ARC AU BUCHER | {Johanna beim Scheiterhaufen} | ROMANCE DRAMATIQUE | PAROLES D'ALEXANDRE DUMAS | MUSIQUE DE | F. LISZT,https://haab-digital.klassik-stiftung.de/viewer/image/1277170169/3/,,B. Schott's Söhne,4053219-7,Mainz ,4037124-4,AURORA 86 $ 8543,,,,x,"Titelseite, S. 1-9",Plattendruck,JEANNE D'ARC AU BUCHER | JOHANNA D'ARC BEIM SCHEITERHAUFEN | Paroles D'ALEXANDRE DUMAS * Musique de F. LISZT. | Übertragen von M. G. FRIEDRICH.,"S/Mez, Kl","Largo, pesante",,Französisch | Deutsch,"Min Dieu j'étais une bergère | O Gott, Du nahmst mich von der Heerde",,,,,,,,Bleistift,,"6 Blatt (1 Titelseite, 9 Seiten Notentext, 2 Leerseiten, paginiert)","Hochformat, ??? x ??? mm, 11-12 Notenzeilen",,,,,,,,,,,,"Druck der ersten Version von Jeanne d'Arc au bûcher aus dem Jahre 1846 mit einigen Bleistifteintragungen von Liszt, die sich hauptsächlich auf Harmonien und Tonbuchstaben der Begleitung fokussieren (S. 1, letztes System; S. 3, drittes System; S. 9, drittes System). Außerdem gibt es sporadisch Änderungen bzw. Ergänzungen im Text, wie ""Maria"" oben auf S. 7 und einige Modifikationen der Gesangslinie (S. 3, zweites System; S. 6, zweites und drittes System; Striche, S. 9, drittes System, zweiter Takt ""j'ai sauvé""). 
Die bildliche Darstellung zeit Jeanne in der Mitte in weißem Gewand mit offenen Haaren und Rosenkranz, umringt von einer grauen Masse an Handlangern. Links hinter ihr ein Knecht, der bereits das Feuerholz holt, rechts von ihr ein Ritter mit der Oriflamme (?). Im Hintergrund eine stilistische Darstellung von Rouen mit Blick auf das Schafott.
Es ist ein Teil aus einer Sammlung, wohl nachträglich zusammengebunden?",Warum hat Liszt hier diese Eintragungen vorgenommen?,"Zusammenhang mit dem Druck/der Quelle müsste vor Ort untersucht werden, es handelt sich wohl um einen zusammengebundenen Einzeldruck.",https://haab-digital.klassik-stiftung.de/viewer/image/1277170169/,DTie,,,,,127
,,,Jesu Christe (Die fünf Wunden),D-WRgs,GSA 60/Z 3,,,,,,x,,,,,,,,,,,,,,,Lithographie,Jesu Christe. | Die fünf Wunden.,,,,Deutsch,Jesu Christe pro nobis crucifixus,,,,,,,,,,S. 8 (von 10 Blatt),,,,,,,,,,,,,,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209825,BV,,,,,128
,,R 579,Joie ou douleur (Freudvoll und leidvoll) ,D-WRgs,GSA 60/Dep. H 12e,,,Partitur,,,,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,703,,,,,S. 28-29,Plattendruck,"""Freudvoll und leidvoll""","Mez, Kl",Andantino,,Deutsch | Französisch,"Freudvoll und leidvoll, gedankenvoll sein | Songes, mensonges, amers ou joyeux",,Die französische Variante des Titels ist von zS (rote Tinte) oberhalb des gedruckten deutschen Titels geschrieben: Joie ou douleur.,,,,,,rote Tinte,zS (rote Tinte),S. 28-29 (von 6 Blatt),"Hochformat, ??? x ??? mm",,,,,,,,,,,,"Der zS trägt in den Druck die französische, von [Gustave Lagye 1157513743] stammende Übersetzung des Gesangtextes ein (rote Tinte). Auf Seite 29 ist ein Vorzeichen korrigiert.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:210948,BV,,,,,129
,,R 579,Joie ou douleur (Freudvoll und leidvoll) ,D-WRgs,GSA 60/Dep. H 12f,,,Partitur,,,,,,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,703,,,,,S. 30-31,Plattendruck,"""Freudvoll und leidvoll""","S, Kl",Andantino,,Deutsch | Französisch,"Songes, mensonges, amers ou joyeux | Freudvoll und leidvoll, gedankenvoll sein",,Die französische Variante des Titels ist von zS (rote Tinte) oberhalb des gedruckten deutschen Titels geschrieben: Joie ou douleur.,,,,,,rote Tinte,zS (rote Tinte),S. 30-31 (von 6 Blatt),"Hochformat, ??? x ??? mm",,,,,,,,,,,,"Der zS trägt in den Druck die französische, von [Gustave Lagye 1157513743] stammende Übersetzung des Gesangtextes ein (rote Tinte). Auf Seite 30 ist ein Vorzeichen korrigiert, auf Seite 31 ein Bindebogen gestrichen (rote Tinte).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:210948,BV,,,,,130
,,R 406,"Kirchliche Festouvertüre über den Choral ""Eine feste Burg ist unser Gott""",H-Bn,"Mus. pr. 10.830, Koll. 1. ",,,Partitur,korrigierter Druck,,,,"Kirchliche | Fest-Ouverture | über den Choral | ""Eine feste Burg ist unser Gott"" | von | Otto Nicolai, | Op. 31. | für Orgel | oder Pedalflügel | gesetzt von | FRANZ LISZT. | Eigenthum der Verleger. Eingetragen in das Vereins Archiv | LEIPZIG, BEI FRIEDRICH HOFMEISTER. | London, bei Exer & Co. | Pr. 15 Ngr. | 4579.",,,Fr. Hofmeister,1073004767,Leipzig ,4035206-7,4579,,,,,,Plattendruck,,Org/Pedalflügel,,,Deutsch,Ein feste Burg ist unser Gott,"Titelblatt ist unter rechts von ""A. W. Gottschalg."" mit Tinte signiert.",,,August. 85. Weimar.,1885-08-xx,Weimar,4065105-8,"schwarze Tinte, Bleistift","[Alexander Wilhelm Gottschalg 116794526] (schwarze Tinte, roter und blauer Stift, Bleistift)","6 Blatt zu 3 Bogen (Einband, 1 Titelseite, 1 Seite Abbildung, 9 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 311 x 250 mm, 9-12 Notenzeilen",,,,,,,,,,gebunden in weißem Einband (320 x 259 mm),,"Auf der verso-Seite des Titelblatts ist ein Konterfei von Liszt, entnommen einer ""Edition Schuberth"" von 1884, eingeklebt. Unter dem gedruckten Titel ist, wohl von Gottschalg, mit schwarzer Tinte folgender Hinweis nachgetragen: ""Nb. Die Bemerkungen mit schwarzem Bleistift sind von | Dr. Franz Liszt (1856 gemacht).""
Ein weiteres Faksimile ist links neben dem Titelblatt eingeklebt: [FacsimiliLetter] Herrn Neufeld - | Sehr geehrter Herr, | Bei dem vorzüglichen | Virtuosen, Silotti | machte ich in | angenehmster Weise | Bekanntschaft mit | einem ihrer sehr | lobenswerthen Flügel | Klang und Spielart | sind vortrefflich. | freundlichst | F. Liszt | August. 85. Weimar.
Druck mit sehr wenigen Bleistifteintragungen von Liszt und vielen Eintragungen mir blauem und rotem Stift sowie Bleistift, wohl von [Gottschalg 116794526]. Die Beobachtungen bei Eckhardt lassen sich bestätigen, so stammen die Zusätze ""Choral"" auf S. 7, 3. System, nach der Fermate, sowie nicht schnell, oben auf S. 11 von Liszt; möglicherweise auch die Textergänzung im untersten System auf S. 8. Der Rest stammt von anderer Hand bzw. Gottschalg und umfasst nicht nur Hinweise für die Pedalisierung der beiden Füße des Spielers, sondern auch Vorzeichenkorrekturen, Registrierung und Korrektur einzelner Noten (so S. 9, unterstes System, T. 2 in der Pedalstimme). 
Die Paginierung verlauft von S. 3-11.","Weitere Kompositionen bzw. Arrangements von Liszt-Arrangemets von Gottschalg sind in die Quelle mit eingebunden, dabei handelt es sich um Stücke, die aus Wagners Tannhäuser stammen. Diese sind teilweise von Gottschalg überarbeitet bzw. korrigiert (hier nicht aufgenommen, ggf. Prüfung im zu bestellenden Digitalisat) = Koll. 2-7",,wird bestellt,DTie,,,,,131
