"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr. (R | S | E/M),"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Autor Titelei (Liszt egh.),Kopftitel,Autor Kopftitel (Liszt egh.),Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (normiert),GND-Nr. Ort,Schrift (Liszt egh.),Schrift (fremder Hand),Umfang,Papiermaß,Wasserzeichen (intern),Verlag (normiert),Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Datierung ermittelt (maschinenlesbar),Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.) (intern)",Quellenautorität (für die Abbildung der Reiterstruktur in der Datenbank),Schreiber Umschlag/Titelblatt Bezug zu O,Schreiber Kopftitel Bezug zu Q,Schreiber zu AB gehörig bitte mit Information in AC kombinieren 
,"464000215
[Eintrag besteht schon]","R 106,15 | S 244/15 | A132/15",Rákoczy-Marsch,D-B,"Mus.ms.autogr. Liszt, F. 11",,,,Korrekturblatt,,,,,,,,Kl,"Dolce grazioso, ma sempre marcato",,,,,,,,,schwarze Tinte,,1 Blatt (2 Seiten Notentext),"Querformat, 247 x ca. 318 mm, 10 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Fragment/Korrekturblatt weist zwei Elemente auf, I: eine ""Kadenz"", die evtl anstelle von T. 21/22 erklingen könnte. Charakteristisch ist die Fermate auf der Dominanten, das folgende Arpeggio in beiden Händen sowie die triolische Geste. ""Korrektur2"" betrifft das Trio und ist von Liszt mit ""Trio No. 2"" markiert. Es handelt sich um die bekannte aus dem Dreiklang gewonnene Melodie, die in der hier vorliegenden Fassung jedoch leicht unterschiedlich begleitet wird als in der NLGA-Fassung der Rhapsodie. Die virtuose Weiterführung weicht dann insbesondere auf der Rückseite des Blattes deutlich von der bekannteren Fassung ab. Das Blatt wurde zweimal längs gefaltet aufbewahrt, weist keine Datierung oder sonstiges auf. Das Papier hat aber an einigen Stellen weiße, ""bleiche"" Flecken.",Es handelt sich hier möglicherweise um ein Korrekturblatt zu einer früheren Version der 15. Ungarischen Rhapsodie | oder der Marsch-Version. Betrifft hauptsächlich das Trio in A-Dur,,Photographiert,DTie,,,,,Franz Liszt,
,1001352245,R 592b | S 275/2 | N8/2,Mignons Lied,D-WRgs,GSA 60/D 90,Ms D 90,,,Korrekturblatt,,,,,,,,"Singst, Kl",,,,,,,,,,schwarze Tinte,,1 Blatt (2 Seiten Notentext),"Hochformat, 340 x 266 mm, 13 Notenzeilen, handrastriert",,,,,"1903, Helene Raff",,,,,,,,,"Auf [S. 1] notiert Liszt in 3 Systemen die Singstimme und Klavierbegleitung der 10 Takte umfassenden Stelle im 6/8-Takt. Auf [S. 2] schreibt er über dem Notentext links ""Begleitung zu Seite 9 und 10"" und notiert 18 Takte bis zum Schluss des Liedes, von denen die ersten 13 Takte nur die Klavierbegleitung enthalten und für die letzten 5 Takte die Singstimmen hinzukommt.",laut Krit. Bericht MW vii/2: Vorlage zu GSA 60/D 43 (S. VII),"""Geschenk von Frl. Helene Raff 1903"" [S. 1]",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191636,UR,,,,,Franz Liszt,
,1001359952,R 238 | S 553 | A141,Deux Transcriptions d'après Rossini,D-WRgs,GSA 60/U 79,,,,Korrekturblatt,x,,,,,,,Kl,,,,,,,,,,"schwarze Tinte, Rötel",,"4 Blatt zu 2 Bogen (8 Seiten Notentext, foliiert)","Hochformat, 351 x 262 mm, 20 Notenlinien, handrastriert",,,,,,,,,,,,Das Papier ist vor allem zu Beginn der Quelle in einem relativ schlechten Zustand und an den Ecken bestoßen.,,"Die ""Korrekturblätter"" vor allem zu La charité sind überaus umfangreich und weisen nahezu den gesamten Notentext in Reinschrift auf. Verglichen mit dem Druck in LNA II, Bd. 23, S. 48-63 lassen sich die folgenden Übereinstimmungen/Konkordanzen ausmachen. Es beginnt mit La charité [S. 1-6], erst im Anschluss kommt das Stabat mater [S. 6-8].
","Als sehr hilfreich zur Einordnung erweist sich der Kritische Bericht der LNA II, Bd. 23, S. XIIf. Zusammenhang mit GSA-Quellen N5, U 28 und U 68.

Druck HAAB unter Signatur L 1759 [auf zwei Digitalisate aufgeteilt]. Schott [1853], handschriftlich auf Druck vermerkt, allerdings steht in der Beschreibung 1848. Muss geprüft werden: https://haab-digital.klassik-stiftung.de/viewer/image/1766683908/2/",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209545,DTie,,,,,Franz Liszt,
,1001359944,"R 238,2 | S 553/2 | A141/2",2. La Charité,D-WRgs,GSA 60/U 79,,,,Korrekturblatt,,x,1001359952,,,,,Kl,,,,,,,,,,,,Blatt 1r-3v (von 4 Blatt),,,,,,,,,,,,,,,"La charité: Correctur A = T. 25 dritter Schlag-27, dritter Schlag; Correctur B =T 29, dritter Schlag-T. 34, dritter Schlag; Correctur C = T. 38-47, dritter Schlag. Die folgenden Passagen sind nicht mehr als Korrekturen bezeichnet. Letztes System [S. 2]-Ende [S. 3] = T. 51-61, zweiter Schlag; [S. 4]-drittes System [S. 6] = T. 63, dritter Schlag-95 (= bis Ende der Komposition).","Digitalisat Notentext, Schott [1853?]: https://haab-digital.klassik-stiftung.de/viewer/image/1766681166/4/",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209545,DTie,,,,,Franz Liszt,
,1001359949,"R 238,1 | S 553/1 | A141/1",1. Air du Stabat mater (Cujus animam),D-WRgs,GSA 60/U 79,,,,Korrekturblatt,,x,1001359952,,,,,Kl,,,,,,,,,,,,Blatt 3v-4v (von 4 Blatt),,,,,,,,,,,,,,,"Die ""Korrekturen"" zum Stabat mater betreffen drei Abschitte, zunächst eine Ossiafassung, ""für die 2 Zeilen | Ossia zu Seite 5. Stabat mater"" [S. 6]. Auf [S. 7] schreibt Liszt mit Rötel, ""Correctur zur Seite 9"" sowie ""Vide | Pag. 11"". Abschließend notiert er den Hinweis ""Auf 2 Zeilen schreiben"" mit schwarzer Tinte. Auch diese Korrekturen wurden nachträglich mit Rötel überarbeitet, mit dem Liszt Phrasierung und Spielanweisungen hinzusetzte. Stabat mater: [S. 6], viertes System-Ende Seite = T. 33-41; [S. 7] Correctur zur Seite 9 = T. 60-75; Schlussseite [8] = T. 95-114.","Digitalisat Notentext, Schott [1853?]: https://haab-digital.klassik-stiftung.de/viewer/image/1766683908/4/",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209545,DTie,,,,,Franz Liszt,
,1001258084,R 418 | S 101 | G10,Festklänge,D-WRgs,"GSA 60/A 7c,1-3","Ms A, 7|c1",,,Korrekturblatt,,x,1001258046,,,Trompetten - Posaunen - Pauken - Piccolo und Schlag | Instrumente | von Seite 10,schwarze Tinte,"Trp, Pos, Bck, grTr, Pk ",,,,,,,,,,"schwarze Tinte, Rötel, Bleistift",Dr (Bleistift),Blatt 2r-6r (von 21 Blatt),"Hochformat, 340 x 267 mm, 13 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Saubere Reinschrift der fehlenden Blechbläser und Schlaginstrumente. Die einzelnen Stellen sind von Liszt eindeutig zu Beginn und zum Ende der Notation beschrieben, wo sie eingefügt werden sollen. Das Autograph weist dennoch einige wenige Striche mit Bleistift sowie Rasuren auf. Das Manuskript enthält auch Eintragungen (umrundete Zahlen) vom Drucker, die auf eine Verwendung für die Erstellung der Stichvorlage hindeuten. Die Einlagen sind von Liszt folgendermaßen mit Tinte und/oder Bleistift beschrieben: S. 1: ""Seite 10 - letzter Takt. Dann die 10 ersten Takt von Seite 11"". S. 2: ""Seite 18 - die 2 letzten Takte [...] tacet bis zur | Seite 25."" S. 3: ""Seite 25 Anfang [...] Weiter Andante zu Seite 26 C D-Dur"". S. 5: ""Seite 26 - 6ter Takt | Andante [...] Dann | Seite 29 die 41 Takte Seite | 7, 8, 9, 10 und 11"". Hier fügt Liszt mit Bleistift den bei der Wiederholung zu ändernden Notentext unten an (1 Takt plus Fermate, ""letzte Takt nach der Wiederholung."" S. 6: ""Seite 35 - 9ter Takt -"" S. 7 [9]: ""Andante - Seite 38"". Hier strich Liszt mit Bleistift die letzten beiden Takte auf der Seite sowie die letzten beiden Takte im ersten System auf S. 8 [10]. Deren Korrektur erfolgt auf dem aufgeschlagenen Bogen auf der gegenüberliegenden recto-Seite und wird zudem mit Bleistiftstrichen markiert. Gleiches gilt für den Einschub von zwei Takten zu Beginn des unteren Systems, die mit einem großen * sowohl mit Bleistift als auch mit rotem Stift markiert sind und sich ebenfalls auf der recto-Seite 9 befinden. Der Schluss ist von Liszt mit rotem Stift mit ""Ende"" hervorgehoben.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190272,DTie,,,,Franz Liszt,Franz Liszt,
,1001258090,R 418 | S 101 | G10,Festklänge,D-WRgs,"GSA 60/A 7c,1-3","zu Ms A, 7|c1 bis",,,Korrekturblatt,,x,1001258046,,,Correctur A Seite 10,rote Tinte,"Orch (Fl, Ob, Klar, Fg, Hr, Vl, Vla, Vlc) ",,,,,,,,,,"schwarze und rote Tinte, Bleistift",,Blatt 7r (von 21 Blatt),"Querformat, 266 x 343 mm, 10 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Das Blatt enthält vier Korrekturen und ist mehrheitlich mit roter Tinte geschrieben. ""Correctur A Seite 10"", diese beinhaltet das kurze Violinen-Solo als Überleitung. ""Correctur B. 5 Takte"", ebenfalls eine Überleitungsfigur, in der bei den Violinen ""con grazia"" Sextolen hinzukommen (im Druck dann Triolen). ""Correctur C. Seite 24"" und ""Correctur D. 5 Takte | Seite 25"" beinhalten jeweils die Analogstellen bei der ""Reprise"" im Stück. Bei der letzteren ergänzt Liszt die beiden ersten Takte in den Violinen mit schwarzer Tinte und trägt nachträglich die Sextolen ""6"" mit Bleistift ein. Dies gilt auch für die Vorzeichenkorrekturen bei ""Correctur C"" sowie der zusätzlichen Identifikation der ""Correctur D"". ","Raabe (Bleistift): Weist auf ein verlorenes Ms hin, das ",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190272,DTie,,,,Franz Liszt,Franz Liszt,
,1001261504,R 381/1 | S 260/1 | E3/1,"Präludium und Fuge über das Thema B.A.C.H. für Orgel, Anhang",D-WRgs,GSA 60/M 1,"Ms M 1|d, Ms (zu M 2b) ",Liszt-Museum Weimar,,Korrekturblatt,,x,1001261076,,,,,Org,,,,,,,,,,schwarze Tinte,,"1 Blatt (1 Seite Notentext, 1 Leerseite)","Querformat, 268-273 x 347 mm, 18 Notenzeilen, handrastriert, oben abgeschnitten",,,,,,,,,,,,"Das autographen Korrekturblatt liegt dem Druckexemplar bei, ebenso eine Reinschrift und eine Abschrift von Liszts Korrekturen. Das Blatt war ursprünglich GSA 60/M 2 mit der alten Signatur ""Ms (zu M 2b)"" zugeordnet.",,"Das Autograph bezieht sich auf den Anhang zur Komposition, der eine leichtere Ausführung eines Abschnitts der Komposition ermöglichen soll, den Ort Liszt in dem Druckexemplar mit blauem Stift markiert. Die Stellenangaben im Autograph beziehen sich auf das Druckexemplar. Insgesamt bezieht sich das Blatt auf ""Seite 9 und 10 der Bach-Fuge"", die erste alternative Passage setzt ein auf ""Seite 9 - 4ter Takt - [spätere Ergänzung von fremder Hand:] der Bachfuge v. Franz Liszt"" und die zweite Passage auf ""Seite 10 - 1ter Takt"".
Dieses Autograph gibt das erste Stadium des Anhangs zur Komposition wider. Die Abschrift GSA 60/M1c beruht auf der Vorlage dieses Autographs. Allerdings entschließt sich Liszt später, die zwei erleichternden Passagen zu einer zusammenzufassen. Bei der Zusammenfassung entfallen die vier den beiden Passagen jeweils vorhergehenden Takte. Das Entfallen der jeweils vier Takte entspricht der zweiten Orgel-Fassung der Komposition, und zwar sowohl in der gewöhnlichen wie in der erleichterten Ossiavariante. Im letzten Stadium der Abschrift des Anhangs, sind die beiden Passagen noch getrennt voneinander. ",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192470,BV,,,,,Franz Liszt,
,1001340874,,Menuet de Symphonie,D-WRgs,GSA 60/A 27,Ms A 27,Liszt-Museum Weimar,,,,,,,,Menuet de Symphonie,schwarze Tinte,Enthält nur wenige Instrumentenverweise: Quatuor de Violon | chercher le chant | Orchestre,Prestissimo,,,,,30 Juin 1830.,1830-06-30,Paris,4044660-8,schwarze Tinte,,"2 Blatt zu 1 Bogen (3 Seiten Notentext, 1 Leerseite)","Hochformat, 300 x 227 mm, 16 Notenzeilen, handrastriert",[Blüte mit Stängel] mit 10 Steglinien,,,,,,,,,,,unregelmäßige Seitenränder,,"Skizze, die mehrere Ideen für eine Symphonie (?) festhält, unterschiedliche Sätze, Motive und Besetzungen werden notiert. Beginnt mit einem Menuett in d-Moll (Takt 3/4), notiert auf zwei Zeilen [Blatt 1r], in der letzten Akkolade ist eine absteigende Solo-Melodie in f-Moll notiert (Takt C). [Blatt 1v]: Quatuor de Violin, vierstimmiger Satz in e-Moll (Takt C), bricht nach acht Takten mit Auftakt ab, darüber notiert Liszt eine Art geschleiftes ""D"". Es folgt im letzten System auf der Seite eine oktavierte (Geigen?)Melodie, ebenfalls in e-Moll. [Blatt 2r] neue einstimmige Melodie, e-Moll (Takt 2/4); die letzte Idee enthält die Datierung (zwischen Notenzeile 6 und 7), notiert sind ein Tremolo und seine harmonische Entsprechung (4 b Vorzeichnung), Text: ""Lente de Fulcher continuer le tremolo | chercher le chant. continuer le trem. Orchestre"", links daneben findet sich die Datierung vom 30. Juni 1830. Ganz unten rechts am Seitenende: ""2ie moité [deuxième moitié?] | moduler en fa | et puis le motif | [??unleserlich]"". Die Rückseite des Bogens ist unbeschrieben.",Laut GSA-Findbuch der Signatur GSA 60/Z 18 entnommen. Raabe liest auf Blatt 2r: Lendemain de Fidelio,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190413,DTie,,,,Franz Liszt,Franz Liszt,Entwurf
,1001266982,R 106 | S 244 | A132,Ungarische Rhapsodien,D-WRgs,GSA 60/I 9,"Ms I, 9|1",Liszt-Museum Weimar,,,,x,1001266763,,,Ungarische Rhapsodien,Raabe (Bleistift),Kl,,,,,,,,,,Rötel,,Blatt 1r-2v (von 25 Blatt),"Hochformat, 340 x 265 mm, 13 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Die ersten beiden Seiten [Blatt 1r-1v] des Bogens enthalten Skizzen zur 5. Rhapsodie mit Rötel. Auf der letzten Seite [Blatt 2v] ist eine Art Register zu sehen, mit Nummern 5 bis 15 (= Ungarische Rhapsodien). Dies enthält ""Incipits"", Generalvorzeichnung sowie Titel. Bsp. 7 Galop -; 9 Pester Carneval; 13 a-Moll; 14 in f-Moll -; 15 Rakozy.","GSA-Findbuch: Auf der ersten Seite (beziffert: 12) mit Rotstift Skizzentakte zur 5ten Rhapsodie (Heroide élégiaque), auf der 4ten die Reihenfolge der Rhapsodien von der 4ten bisbzur 15ten markirt durch die Anfangsnoten oder die Zahlen, zuweilen mit Hinzufügung des Namens der Person, der die Rhapsodie gewidmet ist (5 R [Reviczky], 6 Apponyi, 11 Orozy).","Umfang: 2 Blatt zu 1 Bogen, 3 Seiten Notentext, 1 Leerseite",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,DTie,,,,,Franz Liszt,Skizze
,1001250306,R 641 (499b) | S 680 | K3,Ave Maris stella,D-WRgs,GSA 60/C 19,Ms C 19,Liszt-Museum Weimar,,,,,,,,,,"Solo-St, Harm",,,,,,Franz Liszt [Weimar 4065105-8] | 1882,1882-xx-xx,Weimar,4065105-8,"schwarze Tinte, roter Stift",,"2 Blatt zu 1 Bogen (3 Seiten Notentext, 1 Leerseite)","Querformat, 209 x 266 mm, 10 Notenzeilen, handrastriert",,,,,,,,,,,,Längsfalz; Rastrierung mit grün-blauer Tinte,,Das Autograph enthält eine alternative Begleitung (S. 3). Mit rosa Stift minimale Korrektur und wenige Rasuren (S. 2).,"GSA-Findbuch: Ankauf Sommer 1913 bei ???

Druck in HAAB: urn:nbn:de:gbv:32-1-10038978039

Digitalisat des Notentextes: https://haab-digital.klassik-stiftung.de/viewer/image/4268722831/7/",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191061,BV,,,,,Franz Liszt,Entwurf
,1001246448,R 527 | S 56 | J37,Avant propos zu Rosario,D-WRgs,GSA 60/C 3,"Ms C, 3|7",,,,,x,1001245985,,,,,,,,,,,"Blatt 28r: 19 November, (Fest der heiligen Elisabeth) 79. | [Villa d'Este 4431211-8]. | F. Liszt
Blatt 28v: 19 Novembre (fête de ste Elisabeth) 79 - [Villa d'Este 4431211-8]. | F. Liszt",1879-11-19,Villa d'Este (Tivoli),4431211-8,schwarze Tinte,,"1 Blatt, 2 Seiten Text, foliiert","Querformat, 134 x 209 mm",,,,,,,,,,,,Mittelfalz,,"Liszt entwirft den ersten Absatz zum Vorwort für ""Rosario"" zugleich auf Französisch (Blatt 28v) und auf Deutsch (Blatt 28r). Es handelt sich nicht um die endgültige Fassung, Liszt streicht und korrigiert sehr viel. Die endgültige Fassung befindet sich auf S. 1-4 des Digitalisats.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190972,BV,,,,,Franz Liszt,Entwurf
,1001269626,"R 10b,7 | S 161/7 | A 55/7",Après un Lecture du Dante,D-WRgs,GSA 60/I 18,"Ms I, 18",Liszt-Museum Weimar,,,,,,,,,,Kl,,,,,,,,,,schwarze Tinte,[Gaetano Belloni 1029911630]? (schwarze Tinte),"3 Blatt (4 Seiten Notentext, 2 Leerseiten, foliiert)","Blatt 1, Hochformat, 324 x 253 mm, 12 Notenzeilen, handrastriert; Blatt 2, Hochformat, 347 x 257 mm, 20 Notenzeilen, handrastriert; Blatt 3, Hochformat, 342 x 263 mm, 20 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Die Signatur weist drei Einzelblätter auf, die Studien/Ideen zur Dante-Sonate beinhalten. Das erste Blatt ist von Liszt selbst geschrieben und hält die Idee der fallenden Tritonus-Intervalle sowie die chromatische Akkordprogression fest. Blatt 2 widmet sich einer früheren Version des aufsteigenden Motivs aus T. 110 sowie den aufsteigenden Akkorden aus T. 113. Das dritte Blatt schließlich ist nicht von Liszt (GSA gibt seinen Sekretär Belloni an) geschrieben und notiert wohl eine sehr frühe Version des D-Dur Schlusses, was aber schwierig zuzuordnen ist. Auf keinem der Blätter finden sich Hinzufügungen oder Korrekturen, sondern sie sind alle ""Reinschriften"".",,Handschrift von Belloni prüfen,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192153,DTie,,,,,Franz Liszt,Skizze
,1001248269,S 504a | A287,Via crucis,D-WRgs,GSA 60/C 6c,"Ms C, 6|c",,,,,x,1001248226,,,Via Crucis,schwarze Tinte,,,,,,,19 Nov: [| Pest $ (Villa d'Este | 76.),xxxx-11-19 | 1876-xx-xx,Pest | Villa d'Este (Tivoli),4008684-7 | 4431211-8,schwarze Tinte,,"2 Blatt zu 1 Bogen (4 Seiten Notentext, foliiert)","Querformat, 269 x 347 mm, 16 Notenzeilen, handrastriert",,,,,,,,,,,,Längsfalz,,"Das Autograph enthält mehrere kleine Kompositionsskizzen aus dem Frühstadium der Arbeit an ""Via crucis"". Zum Teil sind sie schwer oder gar nicht auf die Sätze der späteren Komposition beziehbar. So kommt Liszt weder auf die marschähnliche Skizze im 5/4-Takt zurück noch übernimmt er die schon der Station VII ""Sancta Veronica"" zugeordneten aufsteigenden Achtel-Gesten mit Punktierung (beide Blatt 2r). Andere Skizzen lassen deutlichere Bezüge erkennen, so die mit I bezifferte Skizze im 3/2-Takt, die in Station V eingearbeitet ist, oder die darauf folgende mit II bezifferte Skizze, die in Station VI eingearbeitet ist. Mit starken Änderungen könnte Liszt die untere Skizze auf Blatt 1v/2r, (Liszt verlängert das unterste Notensystem mit dem Federhalter von Blatt 1v auf Blatt 2r) in Station II eingearbeitet haben.",Befindet sich auf Scan 101-104 des Digitalisats von WRgs GSA 60/C 6,Skizzenblätter GSA 60/C 6c und C 6d sind durchgehend von Blatt 1-5 foliiert.,,BV,,,,Franz Liszt,Franz Liszt,Skizze
,1001248274,S 504a | A287,Via crucis,D-WRgs,GSA 60/C 6d,"Ms C, 6|d1",,,,,x,1001248226,,,Via Crucis. (Vexilla Regis),schwarze Tinte,,,,,,,22 Nov,xxxx-11-22,,,schwarze Tinte,,"1 Blatt (2 Seiten Notentext, foliiert)","Querformat, 112 x 269 mm, 10 Notenzeilen, handrastriert, unten abgeschnitten",,,,,,,,,,,,2 Längsfalze,,"Das Autograph enthält eine Skizzierung der Introduction ""Vexilla regis"" aus dem Frühstadium der Komposition, von der Liszt weniges übernimmt, vor allem einige harmonische Relationen.",Befindet sich auf Scan 105-106 des Digitalisats von WRgs GSA 60/C 6,Skizzenblätter GSA 60/C 6c und C 6d sind durchgehend von Blatt 1-5 foliiert.,,BV,,,,Franz Liszt,Franz Liszt,Skizze
,1001248278 ,S 504a | A287,Via crucis,D-WRgs,GSA 60/C 6d,"Ms C, 6|d|2",,,,,x,1001248226,,,Via Crucis,schwarze Tinte,,Lento,,,,,,,,,schwarze Tinte,,"1 Blatt (2 Seiten Notentext, foliiert)","Querformat, 182 x 269 mm, 17 Notenzeilen, handrastriert",,,,,,,,,,,,,,Die Skizze weist drei Streichungen auf der recto-Seite auf. Unmittelbar übernimmt Liszt das Notierte nicht in die Komposition.,Befindet sich auf Scan 107-108 des Digitalisats von WRgs GSA 60/C 6,Skizzenblätter GSA 60/C 6c und C 6d sind durchgehend von Blatt 1-5 foliiert.,,BV,,,,Franz Liszt,Franz Liszt,Skizze
,1001248283 ,S 504a | A287,Via crucis,D-WRgs,GSA 60/C 6d,"Ms C, 6|d|3",,,,,x,1001248226,,,Via Crucis,schwarze Tinte,,Lento,,,,,(V.d.'E. | 76.) | Weimar 77,1876-xx-xx | 1877xx-xx,Villa d'Este (Tivoli) | Weimar,4431211-8 | 4065105-8,schwarze Tinte,,"1 Blatt (1 Seite Notentext, 1 Leerseite, foliiert)","Querformat, 270 x 346 mm, 16 Notenzeilen, handrastriert, aus der unteren rechten Ecke 123 x 209 mm herausgeschnitten",,,,,,,,,,,,"Längs- und Querfalz, Stockflecken",,"Das Blatt enthält zwei Skizzen, in denen Liszt Ideen für ""Via crucis"" festhält. ",Befindet sich auf Scan 109-110 des Digitalisats von WRgs GSA 60/C 6,Skizzenblätter GSA 60/C 6c und C 6d sind durchgehend von Blatt 1-5 foliiert.,,BV,,,,Franz Liszt,Franz Liszt,Skizze
,1001250049,R 524 | S 65 | J50,Qui Mariam absolvisti,D-WRgs,GSA 60/C 9b,Ms C 9|b,Liszt-Museum Weimar,,,,,,,,Qui Mariam absolvisti,schwarze Tinte,"Bar, GCh (SATB), Org/Harm",Andante,[punktierte Halbe] = 76,Latein,Qui Mariam absolvisti,,"Franz Liszt, Juli 85",1885-07-xx,,,"schwarze Tinte, blauer und roter Stift",[Alexander Wilhelm Gottschalg 116794526] (blauer Stift),2 Blatt zu 1 Bogen (4 Seiten Notentext),"Hochformat, 348 x 267 mm, 12 Notenzeilen, handrastriert; Überklebung Blatt 1v a, Hochformat, 248-258 x 232-242 mm, 8 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Liszt skizziert in dem autographen Entwurf hauptsächlich die Gesangstimmen, die Orgel ist nur rudimentär ausgeführt. Schon in diesem Kompositionsstadium notiert er die Stimmen für den lateinischen Text und für die deutsche Übersetzung. Das Autograph enthält eine Überklebung, auf der Liszt eine umfangreiche, mit rotem Stift gestrichene Passage neu komponiert (Bogen innen, linke Seite). Das letzte System der überklebten Passage ist unterhalb der Überklebung noch zu sehen. Daneben enthält das Autograph zahlreiche Streichungen (blauer Stift, schwarze Tinte) und Rasuren.",GSA 60/C 9b liegt GSA 60/C 9c nach der Gesamtumschlagseite bei.,"Kopftitel: ""I. | Entwurf."" von [Alexander Wilhelm Gottschalg 116794526] 
Das Digitalisat des vorderen Umschlagblattes gehört zu GSA 60/C 9c.",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190995,BV,,,,Franz Liszt,Franz Liszt,Entwurf
,1001270026,R 18 | S 176 | S167,"Großes Konzertsolo, Skizzen",D-WRgs,GSA 60/I 20,Ms (zu I 20),Liszt-Museum Weimar,,,,x,1001270000,,,Concert Solo,,Kl,,,,,,,,,,schwarze Tinte,,Blatt 10r-11v (von 11 Blatt),"Hochformat, 315 x 235-240 mm, 12 Notenzeilen, gedruckt (Cöln bei Eck & Comp.); Hochformat, 398 x 233-239 mm, 33 Notenzeilen, handrastriert",,,,,,,,,,,,Rastrierung des zweiten Blattes ziemlich unsauber,,"Die Skizzen bzw. Entwürfe sind mit schwarzer Tinte ausgeführt und beziehen sich auf den Beginn des Stücks (Blatt 1) sowie das Andante sostenuto in Des-Dur (Blatt 2). Auf der Rückseite (Blatt 2v) befinden sich Entwürfe wohl zu einer weiteren Komposition bzw. zwei musikalischen Ideen, die erste mit quasi polyphonem Beginn, die zweite eine Legato-Linie, die mit Arpeggien unterlegt ist.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192156,DTie,,,,,Franz Liszt,Skizze
,1001250205,R 536a | S 31 | J15a,Christus ist geboren,D-WRgs,GSA 60/C 15,Ms C 15|b,,,,,x,1001250128,,,,,"4 St, Org",,,,,,,,,,schwarze Tinte,,Blatt 2v (von 6 Blatt),"Hochformat, 268 x 170 mm, 20 Notenzeilen, gedruckt",,,,,,,,,,,,,,"Liszt stellt dem Autograph der in d-Moll und D-Dur gehaltenen ersten Vertonung von ""Christus ist geboren"" die Bemerkung voran, ""in E mol zu transponiren (- ?) Besser[?] nicht "". Gestrichen hat Liszt den Hinweis zur Transposition trotz der durch Fragezeichen indizierten Einschränkungen und die vermutlich ein Distanznahme anzeigende Bemerkung nicht. Das Autograph erweckt den Eindruck einer noch unfertigen Komposition. Die Vokalstimmen sind nicht textiert, während die auf derselben Seite separat notierte Orgelbegleitung nicht zu Ende ausgeführt ist. ","Die Bemerkung ""in E mol zu transponiren (- ?) B[esser] nicht."" scheint trotz des Fragezeichens die Grundlage für die ca. 1865 bei Bote & Bock (Berlin) erschienene Ausgabe von ""Christus ist geboren"" für Männerchor zu bilden, die nach e-Moll/E-Dur transponiert ist.
Befindet sich auf Scan 4 des Digitalisats von D-WRgs GSA 60/C 15.",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191026,BV,,,,,Franz Liszt,Entwurf
