,Absender Person,Absender Person Edition,GND Absender Person,Absender Körperschaft,Absender Körperschaft Edition,GND Absender Körperschaft,Adressat Person,Adressat Person Edition,GND Adressat Person,Adressat Körperschaft,Adressat Körperschaft Edition,GND Adressat Körperschaft,Absendeort,Absendeort Edition,Absendeort_GND,Empfangsort,Empfangsort Edition,Empfangsort_GND,Datierung,Datierung ermittelt,Datierung Kommentar [intern],Incipit [nur in schwierig datierbaren Fällen],Standort,Signatur,Digitalisat,Datierung (standardisiert),Datierung maschinenlesbar Teil 1,Datierung maschinenlesbar Teil 2,Datierung Checkbox,Sigle / Kurztitel,Weitere Editionen,zu überarbeiten,Kommentar (intern),Bemerkungen,Besitzer (nach Edition),Datierung (nach Edition),Werkerwähnung (I),Entstehung (I),Quellentransfer (I),Aufführungen (I),Seite (I),WVZ (Raabe) (I),Werktitel (I),Kommentar (intern) (I),Erwähnung auf Werk- oder Quellenebene (I),Werkerwähnung (II),Entstehung (II),Quellentransfer (II),Aufführungen (II),Seite (II),WVZ (Raabe) (II),Werktitel (II),Kommentar (intern) (II),Erwähnung auf Werk- oder Quellenebene (II),Werkerwähnung (III),Entstehung (III),Quellentransfer (III),Aufführungen (III),Seite (III),WVZ (Raabe) (III),Werktitel (III),Kommentar (intern) (III),Erwähnung auf Werk- oder Quellenebene (III),Werkerwähnung (IV),Entstehung (IV),Quellentransfer (IV),Aufführungen (IV),Seite (IV),WVZ (Raabe) (IV),Werktitel (IV),Kommentar (intern) (IV),Erwähnung auf Werk- oder Quellenebene (IV),Werkerwähnung (V),Entstehung (V),Quellentransfer (V),Aufführungen (V),Seite (V),WVZ (Raabe) (V),Werktitel (V),Kommentar (intern) (V),Erwähnung auf Werk- oder Quellenebene (V),Werkerwähnung (VI),Entstehung (VI),Quellentransfer (VI),Aufführungen (VI),Seite (VI),WVZ (Raabe) (VI),Werktitel (VI),Kommentar (intern) (VI),Erwähnung auf Werk- oder Quellenebene (VI),Werkerwähnung (VII),Entstehung (VII),Quellentransfer (VII),Aufführungen (VII),Seite (VII),WVZ (Raabe) (VII),Werktitel (VII),Kommentar (intern) (VII),Erwähnung auf Werk- oder Quellenebene (VII),Werkerwähnung (VIII),Entstehung (VIII),Quellentransfer (VIII),Aufführungen (VIII),Seite (VIII),WVZ (Raabe) (VIII),Werktitel (VIII),Kommentar (intern) (VIII),Erwähnung auf Werk- oder Quellenebene (VIII),Werkerwähnung (IX),Entstehung (IX),Quellentransfer (IX),Aufführungen (IX),Seite (IX),WVZ (Raabe) (IX),Werktitel (IX),Kommentar (intern) (IX),Erwähnung auf Werk- oder Quellenebene (IX),Werkerwähnung (X),Entstehung (X),Quellentransfer (X),Aufführungen (X),Seite (X),WVZ (Raabe) (X),Werktitel (X),Kommentar (intern) (X),Erwähnung auf Werk- oder Quellenebene (X),Werkerwähnung (XI),Entstehung (XI),Quellentransfer (XI),Aufführungen (XI),Seite (XI),WVZ (Raabe) (XI),Werktitel (XI),Kommentar (intern) (XI),Erwähnung auf Werk- oder Quellenebene (XI)
2430,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,Wilhelmsthal,Wilhelmsthal,4350206-4,,,,[1867]/08/31,,,,,,,31.08.[1867],1867-08-31,1867-08-31,zugeschrieben,"La Mara 1902a, S. 149-150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,"Liszt, Franz","Liszt, Franz",118573527,,,,"von Hohenzollern-Hechingen, Wilhelm Constantin","von Hohenzollern-Hechingen, Wilhelm Constantin",116957212,,,,Wilhelmsthal,Wilhelmsthal,4350206-4,,,,[1867]/09/03,,,,,,,03.09.[1867],1867-09-03,1867-09-03,zugeschrieben,"La Mara 1905, S. 195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Weimar],[Weimar],4065105-8,,,,[1867]/09/10,,,,,,,10.09.[1867],1867-09-10,1867-09-10,zugeschrieben,"La Mara 1902a, S. 150-152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,Wilhelmsthal | Meiningen,Wilhelmsthal | Meiningen,4258491-7 | 4038453-6,,,,[1867]/09/18 + [1867]/09/19,,,,,,,18.09.[1867] / 19.09.[1867],1867-09-18,1867-09-19,zugeschrieben,"La Mara 1902a, S. 152-155",,,,"Jahr bei zweitem Datum selbst ergänzt, beim ersten von La Mara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2434,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,Stuttgart,Stuttgart,4058282-6,,,,[1867]/10/03,,,,,,,03.10.[1867],1867-10-03,1867-10-03,zugeschrieben,"La Mara 1902a, S. 157-159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2435,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,München,München,4127793-4,,,,[1867]/10/11,,,,,,,11.10.[1867],1867-10-11,1867-10-11,zugeschrieben,"La Mara 1902a, S. 159-160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,München,München,4127793-4,,,,[1867]/10/16,,,,,,,16.10.[1867],1867-10-16,1867-10-16,zugeschrieben,"La Mara 1902a, S. 160-162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2437,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,München,München,4127793-4,,,,[1867]/10/22,,,,,,,22.10.[1867],1867-10-22,1867-10-22,zugeschrieben,"La Mara 1902a, S. 162-163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,"Liszt, Franz","Liszt, Franz",118573527,,,,"von Sachsen-Meiningen, Georg II","von Sachsen-Meiningen, Georg II",102425639,,,,,,,,,,[1867/04/...],,,,,,,[04.1867],1867-04-01,1867-04-30,zugeschrieben,"La Mara 1905, S. 189-190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2439,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1867/05/...],,,,,,,[05.1867],1867-05-01,1867-05-31,zugeschrieben,"La Mara 1902a, S. 129-130",,,,Madonna del Rosario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,"Liszt, Franz","Liszt, Franz",118573527,,,,"Rossini, Gioachino","Rossini, Gioachino",118602985,,,,[Rom],[Rom],4050471-2,,,,[1867/06/...],,,,,,,[06.1867],1867-06-01,1867-06-30,zugeschrieben,"La Mara 1905, S. 191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,"Liszt, Franz","Liszt, Franz",118573527,,,,"Planté, Francis","Planté, Francis",116205628,,,,[Rom],[Rom],4050471-2,Paris,Paris,4044660-8,[1867/07/...],,,,,,,[07.1867],1867-07-01,1867-07-31,zugeschrieben,"La Mara 1905, S. 193-194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1867/11/19],,,,,,,[19.11.1867],1867-11-19,1867-11-19,zugeschrieben,"La Mara 1902a, S. 163",,,,Santa Francesca Romana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1867/11/23],,,,,,,[23.11.1867],1867-11-23,1867-11-23,zugeschrieben,"La Mara 1902a, S. 163-164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,"Liszt, Franz","Liszt, Franz",118573527,,,,"[Street-Klindworth, Agnes]","[Street-Klindworth, Agnes]",117346667,,,,Rom,Rom,4050471-2,,,,"[1868, Oktober oder November]",,,,,,,[10.1868 / 11.1868],1868-10-01,1868-11-30,zugeschrieben,"La Mara 1894, S. 203-204",,,,Villa d'Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1868],,,,,,,[1868],1868-01-01,1868-12-31,zugeschrieben,"La Mara 1902a, S. 164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1868],,,,,,,[1868],1868-01-01,1868-12-31,zugeschrieben,"La Mara 1902a, S. 193-194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1868],,,,,,,[1868],1868-01-01,1868-12-31,zugeschrieben,"La Mara 1902a, S. 194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448,"Liszt, Franz","Liszt, Franz",118573527,,,,"[von Bülow, Hans]","[von Bülow, Hans]",118664638,,,,,,,,,,[1868],,,,,,,[1868],1868-01-01,1868-12-31,zugeschrieben,"La Mara 1898, S. 350-352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1868]/06/21,,,,,,,21.06.[1868],1868-06-21,1868-06-21,zugeschrieben,"La Mara 1902a, S. 164-165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,Fabriano,Fabriano,4195784-2,,,,[1868]/07/07,,,,,,,07.07.[1868],1868-07-07,1868-07-07,zugeschrieben,"La Mara 1902a, S. 165-170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,Grotta Mare,Grotta Mare,4417514-0,,,,[1868]/07/11,,,,,,,11.07.[1868],1868-07-11,1868-07-11,zugeschrieben,"La Mara 1902a, S. 170-173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Grotta Mare],[Grotta Mare],4417514-0,,,,[1868]/07/30,,,,,,,30.07.[1868],1868-07-30,1868-07-30,zugeschrieben,"La Mara 1902a, S. 176-177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Grotta Mare],[Grotta Mare],4417514-0,,,,[1868]/08/01,,,,,,,01.08.[1868],1868-08-01,1868-08-01,zugeschrieben,"La Mara 1902a, S. 177-179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Grotta Mare],[Grotta Mare],4417514-0,,,,[1868]/08/08,,,,,,,08.08.[1868],1868-08-08,1868-08-08,zugeschrieben,"La Mara 1902a, S. 179-181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Grotta Mare],[Grotta Mare],4417514-0,,,,[1868]/08/09,,,,,,,09.08.[1868],1868-08-09,1868-08-09,zugeschrieben,"La Mara 1902a, S. 181-182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,"Liszt, Franz","Liszt, Franz",118573527,,,,"Riedel, Carl","Riedel, Carl",116534060,,,,Grotta Mare,Grotta Mare,4417514-0,Leipzig,Leipzig,4035206-7,[1868]/08/12,,,,,,,12.08.[1868],1868-08-12,1868-08-12,zugeschrieben,"La Mara 1893b, S. 123-124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Grotta Mare],[Grotta Mare],4417514-0,,,,[1868]/08/12 + [1868]/08/13,,,,,,,12.08.[1868] / 13.08.[1868],1868-08-12,1868-08-13,zugeschrieben,"La Mara 1902a, S. 182-183",,,,"Jahr beim zweiten Datum selbst ergänzt, beim ersten von La Mara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Grotta Mare],[Grotta Mare],4417514-0,,,,[1868]/08/17,,,,,,,17.08.[1868],1868-08-17,1868-08-17,zugeschrieben,"La Mara 1902a, S. 183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Grotta Mare],[Grotta Mare],4417514-0,,,,[1868]/08/29,,,,,,,29.08.[1868],1868-08-29,1868-08-29,zugeschrieben,"La Mara 1902a, S. 186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,"Liszt, Franz","Liszt, Franz",118573527,,,,"Kahnt, Christian Friedrich","Kahnt, Christian Friedrich",116031522,,,,Rom,Rom,4050471-2,,,,[1868]/09/20,,,,,,,20.09.[1868],1868-09-20,1868-09-20,zugeschrieben,"La Mara 1893b, S. 127-128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1868]/11/17,,,,,,,17.11.[1868],1868-11-17,1868-11-17,zugeschrieben,"La Mara 1902a, S. 189-190",,,,Villa d'Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1868]/11/22,,,,,,,22.11.[1868],1868-11-22,1868-11-22,zugeschrieben,"La Mara 1902a, S. 191-192",,,,Villa d'Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1868]/12/01,,,,,,,01.12.[1868],1868-12-01,1868-12-01,zugeschrieben,"La Mara 1902a, S. 192-193",,,,Villa d'Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Grotta Mare],[Grotta Mare],4417514-0,,,,[1868/08]/24,,,,,,,24.[08.1868],1868-08-24,1868-08-24,zugeschrieben,"La Mara 1902a, S. 184-185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Grotta Mare],[Grotta Mare],4417514-0,,,,[1868/08/26 o. 1868/08/27],,,,,,,[26.08.1868 / 27.08.1868],1868-08-26,1868-08-27,zugeschrieben,"La Mara 1902a, S. 185-186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,"Liszt, Franz","Liszt, Franz",118573527,,,,,,,,,,[Rom],[Rom],4050471-2,,,,[1868/09/...],,,,,,,[09.1868],1868-09-01,1868-09-30,zugeschrieben,"La Mara 1905, S. 199-200",,x,Empfänger fehlt,Empfänger???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1868/09/14],,,,,,,[14.09.1868],1868-09-14,1868-09-14,zugeschrieben,"La Mara 1902a, S. 186-187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1868/09/24],,,,,,,[24.09.1868],1868-09-24,1868-09-24,zugeschrieben,"La Mara 1902a, S. 187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1868/10/...],,,,,,,[10.1868],1868-10-01,1868-10-31,zugeschrieben,"La Mara 1902a, S. 188-189",,,,Villa d'Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470,"Liszt, Franz","Liszt, Franz",118573527,,,,"Reményi, Eduard","Reményi, Eduard",116436085,,,,[Rom],[Rom],4050471-2,,,,[1868/10/...],,,,,,,[10.1868],1868-10-01,1868-10-31,zugeschrieben,"La Mara 1905, S. 204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1868/10/08],,,,,,,[08.10.1868],1868-10-08,1868-10-08,zugeschrieben,"La Mara 1902a, S. 187-188",,,,Villa d'Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1868/10/29],,,,,,,[29.10.1868],1868-10-29,1868-10-29,zugeschrieben,"La Mara 1902a, S. 189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1868/11/...],,,,,,,[11.1868],1868-11-01,1868-11-30,zugeschrieben,"La Mara 1902a, S. 189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,"Liszt, Franz","Liszt, Franz",118573527,,,,"Sayn-Wittgenstein, Caroline","Sayn-Wittgenstein, Caroline",119369168,,,,[Rom],[Rom],4050471-2,,,,[1868/11/...],,,,,,,[11.1868],1868-11-01,1868-11-30,zugeschrieben,"La Mara 1902a, S. 190-191",,,,Villa d'Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475,"Liszt, Franz","Liszt, Franz",118573527,,,,"Hohenlohe, Gustav","Hohenlohe, Gustav",116955422,,,,[Rom],[Rom],4050471-2,,,,[1868/11/28],,,,,,,[28.11.1868],1868-11-28,1868-11-28,zugeschrieben,"La Mara 1905, S. 205-206",,,,Villa d'Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,"Liszt, Franz","Liszt, Franz",118573527,,,,"Suermondt, Johanna","Suermondt, Johanna",RD,,,,Weimar,Weimar,4065105-8,Aachen,Aachen,4000003-5,25.07.1858,,,,,,,25.07.1858,25.07.1858,25.07.1858,nach Edition,"La Mara 1905, S. 140-141",,,,,Rosa von Milde in Weimar,,Lieder | Mai-Lieder,x,,,140,R 603,Muttergottes-Sträußlein zum Mai-Monate [?],"Wollte zum Dank für die Unterbringung in Aachen während des Musikfestes 1857 einen Band Lieder senden, die waren aber noch nicht publiziert, erwähnt ""Mai-Lieder"".",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
